county_fips,state_fips,county_name,state_name,lat,lon,pop2020,pop55,trials_in_county,oral_trials_in_county,oral_indeterminate_in_county,dist_to_limited_mi,dist_to_broad_mi,dist_to_nci_mi,nearest_nci,trials_within_60mi,oral_trials_within_60mi,oral_indeterminate_within_60mi,trials_within_120mi,oral_trials_within_120mi,oral_indeterminate_within_120mi
48201,48,Harris,Texas,29.816889,-95.425716,4731145,1054325,1020,482,110,0.0,0.0,3.706987838246595,Dan L Duncan Comprehensive Cancer Center (Baylor),1039,490,112,1042,492,112
36061,36,New York,New York,40.776422,-73.967437,1694251,480042,925,404,129,0.0,0.0,0.7082238380902711,Herbert Irving Comprehensive Cancer Center (Columbia),1245,522,172,1493,622,200
06037,06,Los Angeles,California,34.067886,-118.24599,10014009,2666119,923,415,100,0.0,0.0,12.015354064922672,Jonsson Comprehensive Cancer Center (UCLA),1052,477,123,1067,485,123
25025,25,Suffolk,Massachusetts,42.336102,-71.077148,797936,184975,625,328,74,0.0,0.0,3.6126521928908617,Dana-Farber/Harvard Cancer Center,735,381,85,771,395,88
47037,47,Davidson,Tennessee,36.137771,-86.744752,715884,167981,541,259,84,0.0,0.0,3.9342115680258543,Vanderbilt-Ingram Cancer Center,545,259,85,549,261,85
17031,17,Cook,Illinois,41.869515,-87.757998,5275541,1443548,525,241,54,0.0,0.0,5.258113305953138,Robert H. Lurie Comprehensive Cancer Center (Northwestern),586,270,63,678,316,82
48113,48,Dallas,Texas,32.809819,-96.787649,2613539,587582,439,206,53,0.0,0.0,2.012057568422537,Harold C. Simmons Comprehensive Cancer Center (UTSW),498,227,63,535,244,69
06059,06,Orange,California,33.732683,-117.858773,3186989,912728,413,192,55,0.0,0.0,4.506948134359517,Chao Family Comprehensive Cancer Center (UC Irvine),1062,482,123,1136,510,135
42101,42,Philadelphia,Pennsylvania,40.003523,-75.139476,1603797,409413,399,164,53,0.0,0.0,0.6255289438162667,Abramson Cancer Center (Penn),691,274,92,1523,630,206
39049,39,Franklin,Ohio,40.001224,-82.992171,1323807,314481,391,208,32,0.0,0.0,1.508813698700988,OSU Comprehensive Cancer Center – James,393,209,32,539,276,51
36059,36,Nassau,New York,40.716432,-73.603664,1395774,453015,387,147,61,0.0,0.0,21.967842005445757,Montefiore Einstein Cancer Center,1245,522,172,1491,622,199
53033,53,King,Washington,47.550488,-122.230405,2269675,570475,386,210,48,0.0,0.0,8.855168282609084,Fred Hutch/UW/Seattle Children's Cancer Consortium,436,235,52,439,235,53
51059,51,Fairfax,Virginia,38.844726,-77.25911,1150309,310691,383,181,57,0.0,0.0,16.418393890071602,Georgetown Lombardi Comprehensive Cancer Center,883,407,105,1015,463,119
12086,12,Miami-Dade,Florida,25.769326,-80.30118,2701767,807308,366,176,29,0.0,0.0,6.929668945828556,Sylvester Comprehensive Cancer Center (Miami),461,228,32,492,244,37
29510,29,St. Louis,Missouri,38.620558,-90.253332,301578,80630,365,187,49,0.0,0.0,1.3769882076315765,Siteman Cancer Center (WashU),459,225,60,475,234,60
34003,34,Bergen,New Jersey,40.916918,-74.056816,955732,306758,363,137,54,0.0,0.0,11.556732393241301,Montefiore Einstein Cancer Center,1222,515,169,1494,622,201
04013,04,Maricopa,Arizona,33.490147,-112.044016,4420568,1246376,361,164,54,0.0,0.0,7.511929417606248,Mayo Clinic Cancer Center – Phoenix,363,164,54,364,165,54
42003,42,Allegheny,Pennsylvania,40.447811,-79.971635,1250578,414106,324,142,47,0.0,0.0,0.7042938480492681,UPMC Hillman Cancer Center,326,144,47,414,185,54
49035,49,Salt Lake,Utah,40.638514,-111.927686,1185238,254541,317,163,40,0.0,0.0,11.475876850935824,Huntsman Cancer Institute (Utah),324,169,40,324,169,40
09009,09,New Haven,Connecticut,41.396593,-72.942327,864835,279557,313,146,41,0.0,0.0,7.194627284300786,Yale Cancer Center,588,244,81,1361,569,186
39035,39,Cuyahoga,Ohio,41.448408,-81.677451,1264817,410614,312,141,35,0.0,0.0,2.49795243756778,Case Comprehensive Cancer Center,370,169,42,393,176,46
24510,24,Baltimore,Maryland,39.314378,-76.618104,585708,158038,310,147,30,0.0,0.0,1.2880742810292354,Sidney Kimmel Comprehensive Cancer Center (Johns Hopkins),885,407,106,1141,488,144
48029,48,Bexar,Texas,29.484685,-98.532945,2009324,473757,308,129,58,0.0,0.0,1.9119175940753885,Mays Cancer Center (UT Health San Antonio),310,130,58,405,170,74
12057,12,Hillsborough,Florida,27.967264,-82.39857,1459762,402343,308,136,28,0.0,0.0,5.945722009553676,Moffitt Cancer Center,372,161,37,567,235,73
13089,13,DeKalb,Georgia,33.790223,-84.247613,764382,190926,306,143,29,0.0,0.0,12.27749738064332,Winship Cancer Institute (Emory),437,199,44,456,212,44
26163,26,Wayne,Michigan,42.329477,-83.226321,1793561,516830,304,138,44,0.0,0.0,8.805015914191927,Karmanos Cancer Institute (Wayne State),449,212,62,485,228,65
36103,36,Suffolk,New York,40.823365,-73.103278,1525920,494965,296,106,45,0.0,0.0,41.923023359883246,Yale Cancer Center,1209,508,166,1331,558,182
27109,27,Olmsted,Minnesota,44.024514,-92.476238,162847,46923,288,128,33,0.0,0.0,0.8585021907359742,Mayo Clinic Cancer Center – Rochester,288,128,33,487,229,50
41051,41,Multnomah,Oregon,45.517904,-122.591156,815428,204850,281,135,30,0.0,0.0,3.7669217028000044,Knight Cancer Institute (OHSU),310,152,32,317,155,32
06075,06,San Francisco,California,37.760569,-122.436499,873965,244121,250,125,21,0.0,0.0,1.4236865790880437,UCSF Helen Diller Family Comprehensive Cancer Center,446,200,47,526,236,59
12031,12,Duval,Florida,30.298646,-81.620436,995567,277498,248,112,25,0.0,0.0,4.329022784658321,Mayo Clinic Cancer Center – Jacksonville,251,114,25,345,144,35
06073,06,San Diego,California,32.884418,-117.112348,3298634,881580,245,121,25,0.0,0.0,8.645383290154234,Moores Comprehensive Cancer Center (UCSD),245,121,25,587,272,74
36119,36,Westchester,New York,41.038581,-73.80547,1004457,314793,242,85,34,0.0,0.0,13.93116873777365,Montefiore Einstein Cancer Center,1244,522,172,1347,568,183
37063,37,Durham,North Carolina,35.986154,-78.901717,324833,83242,239,126,22,0.0,0.0,0.7261161979890502,Duke Cancer Institute,385,183,36,507,246,49
34025,34,Monmouth,New Jersey,40.29118,-74.14859,643615,220939,229,80,33,0.0,0.0,24.73410531209253,Rutgers Cancer Institute of New Jersey,1205,510,170,1500,624,202
26161,26,Washtenaw,Michigan,42.257602,-83.726939,372258,97989,227,120,22,0.0,0.0,1.5528596110613913,University of Michigan Rogel Cancer Center,476,227,65,482,228,65
26081,26,Kent,Michigan,42.961776,-85.625638,657974,174708,227,96,36,0.0,0.0,128.82289138274166,University of Michigan Rogel Cancer Center,231,98,36,293,137,39
34035,34,Somerset,New Jersey,40.559937,-74.578391,345361,109174,222,78,33,0.0,0.0,10.401360812289388,Rutgers Cancer Institute of New Jersey,1336,570,180,1430,598,193
06085,06,Santa Clara,California,37.315518,-121.91109,1936259,504615,219,89,24,0.0,0.0,19.931361674837177,Stanford Cancer Institute,414,186,41,526,236,59
27053,27,Hennepin,Minnesota,44.976697,-93.361233,1281565,348350,211,101,18,0.0,0.0,5.563371598793927,Masonic Cancer Center (Minnesota),242,120,21,486,228,51
31055,31,Douglas,Nebraska,41.26173,-96.069741,584526,147235,210,95,34,0.0,0.0,1.0154196534898945,Fred & Pamela Buffett Cancer Center (UNMC),236,104,35,245,106,35
55079,55,Milwaukee,Wisconsin,43.031416,-87.959526,939489,242092,210,108,29,0.0,0.0,89.19641371018717,UW Carbone Cancer Center,264,136,36,732,341,91
11001,11,District of Columbia,District of Columbia,38.910168,-77.013993,689545,151648,208,92,21,0.0,0.0,0.5205905769607525,Georgetown Lombardi Comprehensive Cancer Center,880,406,105,984,449,119
08031,08,Denver,Colorado,39.72486,-104.950033,715522,155586,207,95,42,0.0,0.0,14.694277696763509,University of Colorado Cancer Center,427,205,67,441,213,69
39061,39,Hamilton,Ohio,39.181054,-84.509096,830639,239668,204,101,23,0.0,0.0,95.27144115715484,Markey Cancer Center (Kentucky),271,134,28,729,350,79
08001,08,Adams,Colorado,39.876949,-104.920943,519572,113895,199,92,21,0.0,0.0,18.863165463902664,University of Colorado Cancer Center,432,209,67,441,213,69
34023,34,Middlesex,New Jersey,40.484409,-74.388583,863162,248522,197,96,24,0.0,0.0,3.5250002407567265,Rutgers Cancer Institute of New Jersey,1217,513,171,1500,624,202
12011,12,Broward,Florida,26.135399,-80.226976,1944375,611136,190,100,10,0.0,0.0,29.896551487413234,Sylvester Comprehensive Cancer Center (Miami),489,243,37,496,244,38
40109,40,Oklahoma,Oklahoma,35.52553,-97.512375,796292,204436,188,87,17,0.0,0.0,4.84542711194173,Stephenson Cancer Center (Oklahoma),189,88,17,206,95,18
24031,24,Montgomery,Maryland,39.087069,-77.124126,1062061,314205,185,95,14,0.0,0.0,16.673073883488904,Georgetown Lombardi Comprehensive Cancer Center,880,406,105,938,428,114
37135,37,Orange,North Carolina,35.980115,-79.082329,148696,40574,172,73,16,0.0,0.0,5.0993049684765515,UNC Lineberger Comprehensive Cancer Center,389,183,39,509,247,49
13121,13,Fulton,Georgia,33.832534,-84.396191,1066710,254771,168,72,16,0.0,0.0,6.055582230555734,Winship Cancer Institute (Emory),423,194,44,476,220,44
01073,01,Jefferson,Alabama,33.517206,-86.811606,674721,193508,164,78,16,0.0,0.0,1.3061084157749634,O'Neal Comprehensive Cancer Center (UAB),165,78,16,194,97,18
12095,12,Orange,Florida,28.526077,-81.388371,1429908,349679,161,65,25,0.0,0.0,92.07819493798745,Moffitt Cancer Center,233,97,35,573,241,61
18097,18,Marion,Indiana,39.788896,-86.136268,977203,236556,160,75,17,0.0,0.0,1.1828723417354496,IU Simon Comprehensive Cancer Center,173,80,19,366,178,37
29189,29,St. Louis,Missouri,38.644521,-90.389519,1004125,321433,159,77,14,0.0,0.0,9.413684605550705,Siteman Cancer Center (WashU),459,225,60,473,234,60
55025,55,Dane,Wisconsin,43.07564,-89.395501,561504,146494,158,90,15,0.0,0.0,2.3142931400447893,UW Carbone Cancer Center,161,92,15,377,194,49
37119,37,Mecklenburg,North Carolina,35.225341,-80.819873,1115482,258035,157,84,18,0.0,0.0,81.92925046212602,Wake Forest Baptist Comprehensive Cancer Center,177,92,19,305,154,31
20091,20,Johnson,Kansas,38.924919,-94.740299,609863,170213,156,78,15,0.0,0.0,16.382301635623406,University of Kansas Cancer Center,235,120,23,250,132,23
06067,06,Sacramento,California,38.568337,-121.381235,1585055,426644,156,80,19,0.0,0.0,5.6379274585410695,UC Davis Comprehensive Cancer Center,171,89,19,525,236,59
48453,48,Travis,Texas,30.314282,-97.748216,1290188,275627,155,67,27,0.0,0.0,89.99381155846395,Mays Cancer Center (UT Health San Antonio),162,69,29,423,181,77
51760,51,Richmond,Virginia,37.535453,-77.466456,226610,58051,150,64,16,0.0,0.0,0.7118308289917586,VCU Massey Comprehensive Cancer Center,186,84,20,750,344,98
36005,36,Bronx,New York,40.849395,-73.882271,1472654,367825,148,60,21,0.0,0.0,2.5458251651118085,Montefiore Einstein Cancer Center,1245,522,172,1489,620,199
36029,36,Erie,New York,42.891147,-78.792727,954236,313074,147,67,16,0.0,0.0,4.069842563762604,Roswell Park Comprehensive Cancer Center,147,67,16,251,114,29
21067,21,Fayette,Kentucky,38.020293,-84.49441,322570,82193,145,54,17,0.0,0.0,1.3153034420730583,Markey Cancer Center (Kentucky),146,54,17,413,180,50
21111,21,Jefferson,Kentucky,38.201451,-85.686227,782969,232122,144,55,18,0.0,0.0,78.13126725438556,Markey Cancer Center (Kentucky),162,64,20,410,177,50
19103,19,Johnson,Iowa,41.683586,-91.561276,152854,34825,137,69,20,0.0,0.0,2.98082195918086,Holden Comprehensive Cancer Center (Iowa),167,87,21,195,99,23
17043,17,DuPage,Illinois,41.848928,-88.071268,932877,283160,132,56,13,0.0,0.0,23.88569141188538,Robert H. Lurie Comprehensive Cancer Center (Northwestern),586,270,63,676,314,82
45019,45,Charleston,South Carolina,32.825793,-79.978136,408235,126058,125,56,13,0.0,0.0,0.4081282095809946,Hollings Cancer Center (MUSC),125,56,13,187,89,18
46099,46,Minnehaha,South Dakota,43.558266,-96.731507,197214,51695,121,53,15,0.0,0.0,194.80298679781131,Fred & Pamela Buffett Cancer Center (UNMC),121,53,15,121,53,15
47157,47,Shelby,Tennessee,35.131029,-89.886356,929744,243075,119,60,9,0.0,0.0,5.857510875290623,St. Jude Children's Research Hospital,119,60,9,128,64,11
04019,04,Pima,Arizona,32.216427,-110.95803,1043433,349554,118,64,12,0.0,0.0,8.069959393097205,University of Arizona Cancer Center,118,64,12,122,64,13
48439,48,Tarrant,Texas,32.764453,-97.247663,2110640,502307,117,48,13,0.0,0.0,33.62719370542714,Harold C. Simmons Comprehensive Cancer Center (UTSW),498,227,63,503,230,64
36055,36,Monroe,New York,43.160725,-77.618985,759443,240912,116,59,15,0.0,0.0,0.7711050104366154,Wilmot Cancer Institute (Rochester),118,60,15,276,126,30
26125,26,Oakland,Michigan,42.586862,-83.314039,1274395,408119,115,54,9,0.0,0.0,21.295038658827508,Karmanos Cancer Institute (Wayne State),452,213,62,482,228,65
44007,44,Providence,Rhode Island,41.857227,-71.449675,660741,191347,112,51,19,0.0,0.0,47.9297676464204,Dana-Farber/Harvard Cancer Center,747,385,85,903,446,110
37067,37,Forsyth,North Carolina,36.104617,-80.258522,382590,114256,109,63,12,0.0,0.0,0.20869654229271764,Wake Forest Baptist Comprehensive Cancer Center,124,69,13,584,286,58
41067,41,Washington,Oregon,45.486067,-122.87092,600372,153892,107,53,7,0.0,0.0,13.512836480327538,Knight Cancer Institute (OHSU),310,152,32,317,155,32
29095,29,Jackson,Missouri,39.00998,-94.444287,717204,201125,105,53,11,0.0,0.0,21.303790288590434,University of Kansas Cancer Center,235,120,23,250,132,23
