trial_county_fips,county_fips,road_mi
01003,01003,0.0
01003,01025,107.6
01003,01035,91.2
01003,01053,69.3
01003,01097,35.4
01003,01099,90.2
01003,01129,94.4
01003,12033,35.6
01003,12091,92.1
01003,12113,48.9
01003,12131,115.5
01003,28035,117.8
01003,28039,71.4
01003,28041,88.0
01003,28045,116.9
01003,28047,96.1
01003,28059,73.8
01003,28111,103.5
01003,28131,101.4
01003,28153,112.4
01069,01005,65.8
01069,01011,81.6
01069,01013,102.0
01069,01031,36.1
01069,01035,107.1
01069,01039,69.2
01069,01041,77.2
01069,01045,21.6
01069,01051,117.9
01069,01061,39.0
01069,01067,21.5
01069,01069,0.0
01069,01085,119.0
01069,01087,104.8
01069,01101,101.9
01069,01109,55.1
01069,01113,94.2
01069,12005,78.6
01069,12013,59.3
01069,12039,78.1
01069,12045,113.1
01069,12059,47.6
01069,12063,36.9
01069,12073,97.1
01069,12077,71.3
01069,12091,111.0
01069,12129,114.6
01069,12131,88.5
01069,12133,47.3
01069,13007,77.3
01069,13037,61.9
01069,13053,108.1
01069,13061,45.8
01069,13071,110.9
01069,13087,57.0
01069,13095,84.5
01069,13099,36.7
01069,13131,80.7
01069,13145,120.0
01069,13177,91.8
01069,13201,51.3
01069,13205,85.0
01069,13215,103.2
01069,13239,58.6
01069,13243,64.8
01069,13249,116.8
01069,13253,40.8
01069,13259,81.8
01069,13261,109.5
01069,13273,83.3
01069,13275,95.6
01069,13307,97.1
01069,13321,103.0
01073,01001,79.7
01073,01007,44.5
01073,01009,35.6
01073,01015,68.3
01073,01017,118.5
01073,01019,89.6
01073,01021,51.6
01073,01027,77.3
01073,01029,80.6
01073,01033,111.4
01073,01037,62.6
01073,01043,47.9
01073,01047,89.1
01073,01049,97.0
01073,01051,89.0
01073,01055,61.8
01073,01057,74.5
01073,01059,104.8
01073,01063,87.4
01073,01065,83.4
01073,01071,102.6
01073,01073,0.0
01073,01075,95.6
01073,01079,86.8
01073,01081,119.2
01073,01083,94.9
01073,01085,114.0
01073,01089,96.2
01073,01091,119.2
01073,01093,83.6
01073,01095,70.6
01073,01101,95.7
01073,01103,76.3
01073,01105,79.4
01073,01107,91.0
01073,01111,103.1
01073,01115,32.1
01073,01117,20.3
01073,01119,111.7
01073,01121,51.5
01073,01123,81.2
01073,01125,53.4
01073,01127,38.6
01073,01133,64.9
01073,13045,113.5
01073,13055,117.4
01073,13115,118.0
01073,13143,107.2
01073,13233,115.6
01073,28057,113.7
01073,28087,109.8
01073,28095,118.2
01089,01009,62.0
01089,01015,103.9
01089,01019,92.4
01089,01033,67.0
01089,01043,53.2
01089,01049,64.5
01089,01055,74.7
01089,01057,118.3
01089,01059,75.5
01089,01071,48.5
01089,01073,96.2
01089,01077,59.6
01089,01079,48.3
01089,01083,23.1
01089,01089,0.0
01089,01093,102.0
01089,01095,44.7
01089,01103,28.5
01089,01115,98.1
01089,01117,114.9
01089,01127,90.2
01089,01133,71.4
01089,13047,112.6
01089,13055,93.9
01089,13083,84.1
01089,13115,113.8
01089,13295,105.5
01089,28003,119.5
01089,28141,101.8
01089,47003,58.7
01089,47015,93.5
01089,47031,69.2
01089,47037,106.9
01089,47041,113.9
01089,47043,119.5
01089,47051,59.2
01089,47055,42.8
01089,47061,92.1
01089,47065,110.1
01089,47071,109.1
01089,47081,104.5
01089,47099,67.1
01089,47101,97.6
01089,47103,27.4
01089,47115,82.6
01089,47117,59.5
01089,47119,76.0
01089,47127,49.9
01089,47135,119.6
01089,47149,86.9
01089,47153,104.9
01089,47175,116.1
01089,47177,93.7
01089,47181,96.5
01089,47187,90.2
01089,47189,109.2
01097,01003,35.4
01097,01023,114.4
01097,01025,88.1
01097,01035,93.3
01097,01053,79.5
01097,01097,0.0
01097,01099,92.3
01097,01129,71.9
01097,12033,61.8
01097,12091,119.0
01097,12113,75.1
01097,28023,112.0
01097,28031,116.9
01097,28035,87.7
01097,28039,41.3
01097,28041,57.9
01097,28045,96.5
01097,28047,75.6
01097,28059,53.3
