county_fips,county_name,state_fips,trials_in_county,access_mi,on_main_network,nearest_broad,road_mi_broad,drive_hr_broad,nearest_limited,road_mi_limited,drive_hr_limited,nearest_nci,road_mi_nci,drive_hr_nci,straightline_x1_2_broad,straightline_x1_2_limited,straightline_x1_2_nci,straightline_nearest_nci
01001,Autauga,01,0,1.8,1,"Jefferson, Alabama",79.7,1.41,"Jefferson, Alabama",79.7,1.41,O'Neal Comprehensive Cancer Center (UAB),79.4,1.5,87.3,87.3,87.8,O'Neal Comprehensive Cancer Center (UAB)
01003,Baldwin,01,20,0.6,1,"Jefferson, Alabama",253.2,5.14,"Baldwin, Alabama",0.0,0.0,O'Neal Comprehensive Cancer Center (UAB),252.9,5.22,255.9,0.0,257.0,O'Neal Comprehensive Cancer Center (UAB)
01005,Barbour,01,0,3.7,1,"Jefferson, Alabama",173.1,3.31,"Coweta, Georgia",136.8,2.67,Winship Cancer Institute (Emory),172.3,3.62,174.2,133.2,170.5,Winship Cancer Institute (Emory)
01007,Bibb,01,0,0.3,1,"Jefferson, Alabama",44.5,0.89,"Jefferson, Alabama",44.5,0.89,O'Neal Comprehensive Cancer Center (UAB),45.0,0.89,46.1,46.1,47.3,O'Neal Comprehensive Cancer Center (UAB)
01009,Blount,01,0,0.7,1,"Jefferson, Alabama",35.6,0.76,"Jefferson, Alabama",35.6,0.76,O'Neal Comprehensive Cancer Center (UAB),34.8,0.74,39.3,39.3,38.1,O'Neal Comprehensive Cancer Center (UAB)
01011,Bullock,01,0,0.1,1,"Jefferson, Alabama",136.4,2.52,"Coweta, Georgia",114.1,1.99,O'Neal Comprehensive Cancer Center (UAB),136.0,2.61,139.5,124.6,139.7,O'Neal Comprehensive Cancer Center (UAB)
01013,Butler,01,0,0.3,1,"Jefferson, Alabama",137.0,2.45,"Baldwin, Alabama",125.4,2.21,O'Neal Comprehensive Cancer Center (UAB),136.6,2.53,144.8,129.4,145.5,O'Neal Comprehensive Cancer Center (UAB)
01015,Calhoun,01,0,0.3,1,"Jefferson, Alabama",68.3,1.29,"Jefferson, Alabama",68.3,1.29,O'Neal Comprehensive Cancer Center (UAB),67.3,1.28,70.8,70.8,69.6,O'Neal Comprehensive Cancer Center (UAB)
01017,Chambers,01,0,0.6,1,"Fulton, Georgia",92.9,1.71,"Coweta, Georgia",53.6,0.9,Winship Cancer Institute (Emory),89.4,1.62,100.6,56.6,94.9,Winship Cancer Institute (Emory)
01019,Cherokee,01,0,0.6,1,"Jefferson, Alabama",89.6,1.59,"Cobb, Georgia",83.8,1.91,O'Neal Comprehensive Cancer Center (UAB),88.6,1.58,89.6,76.2,89.9,Winship Cancer Institute (Emory)
01021,Chilton,01,0,1.4,1,"Jefferson, Alabama",51.6,1.05,"Jefferson, Alabama",51.6,1.05,O'Neal Comprehensive Cancer Center (UAB),51.2,1.14,53.6,53.6,54.3,O'Neal Comprehensive Cancer Center (UAB)
01023,Choctaw,01,0,3.8,1,"Jefferson, Alabama",156.4,2.83,"Mobile, Alabama",114.4,2.36,O'Neal Comprehensive Cancer Center (UAB),156.9,2.83,160.4,110.6,161.7,O'Neal Comprehensive Cancer Center (UAB)
01025,Clarke,01,0,1.3,1,"Jefferson, Alabama",157.7,3.23,"Mobile, Alabama",88.1,1.78,O'Neal Comprehensive Cancer Center (UAB),158.2,3.24,167.4,86.7,168.6,O'Neal Comprehensive Cancer Center (UAB)
01027,Clay,01,0,0.4,1,"Jefferson, Alabama",77.3,1.54,"Jefferson, Alabama",77.3,1.54,O'Neal Comprehensive Cancer Center (UAB),76.3,1.52,71.7,71.7,71.0,O'Neal Comprehensive Cancer Center (UAB)
01029,Cleburne,01,0,1.5,1,"Fulton, Georgia",72.8,1.34,"Coweta, Georgia",59.5,1.22,Winship Cancer Institute (Emory),67.0,1.16,77.7,56.5,74.9,Winship Cancer Institute (Emory)
01031,Coffee,01,0,0.9,1,"Jefferson, Alabama",174.0,3.26,"Baldwin, Alabama",155.6,3.19,O'Neal Comprehensive Cancer Center (UAB),173.7,3.35,190.4,148.7,190.9,O'Neal Comprehensive Cancer Center (UAB)
01033,Colbert,01,0,0.6,1,"Jefferson, Alabama",111.4,2.08,"Union, Mississippi",92.0,1.92,O'Neal Comprehensive Cancer Center (UAB),110.7,2.08,116.6,92.9,116.4,O'Neal Comprehensive Cancer Center (UAB)
01035,Conecuh,01,0,0.1,1,"Jefferson, Alabama",168.9,2.92,"Baldwin, Alabama",91.2,1.61,O'Neal Comprehensive Cancer Center (UAB),168.6,3.01,174.7,90.9,175.6,O'Neal Comprehensive Cancer Center (UAB)
01037,Coosa,01,0,2.7,1,"Jefferson, Alabama",62.6,1.35,"Jefferson, Alabama",62.6,1.35,O'Neal Comprehensive Cancer Center (UAB),61.5,1.33,63.8,63.8,63.7,O'Neal Comprehensive Cancer Center (UAB)
01039,Covington,01,0,1.5,1,"Jefferson, Alabama",181.9,3.56,"Baldwin, Alabama",128.7,2.65,O'Neal Comprehensive Cancer Center (UAB),181.6,3.65,187.3,114.4,187.9,O'Neal Comprehensive Cancer Center (UAB)
01041,Crenshaw,01,0,0.5,1,"Jefferson, Alabama",138.0,2.64,"Jefferson, Alabama",138.0,2.64,O'Neal Comprehensive Cancer Center (UAB),137.7,2.72,151.1,144.5,151.7,O'Neal Comprehensive Cancer Center (UAB)
01043,Cullman,01,0,0.2,1,"Jefferson, Alabama",47.9,0.81,"Jefferson, Alabama",47.9,0.81,O'Neal Comprehensive Cancer Center (UAB),47.2,0.81,53.5,53.5,52.7,O'Neal Comprehensive Cancer Center (UAB)
01045,Dale,01,0,2.9,1,"Jefferson, Alabama",183.9,3.47,"Baldwin, Alabama",174.5,3.67,O'Neal Comprehensive Cancer Center (UAB),183.5,3.55,195.0,166.5,195.3,O'Neal Comprehensive Cancer Center (UAB)
01047,Dallas,01,0,0.5,1,"Jefferson, Alabama",89.1,1.82,"Jefferson, Alabama",89.1,1.82,O'Neal Comprehensive Cancer Center (UAB),88.8,1.91,93.0,93.0,94.0,O'Neal Comprehensive Cancer Center (UAB)
01049,DeKalb,01,0,1.8,1,"Jefferson, Alabama",97.0,2.0,"Hamilton, Tennessee",67.0,1.39,O'Neal Comprehensive Cancer Center (UAB),96.3,1.99,103.4,67.7,102.1,O'Neal Comprehensive Cancer Center (UAB)
01051,Elmore,01,0,0.3,1,"Jefferson, Alabama",89.0,1.69,"Jefferson, Alabama",89.0,1.69,O'Neal Comprehensive Cancer Center (UAB),88.7,1.78,89.3,89.3,89.6,O'Neal Comprehensive Cancer Center (UAB)
01053,Escambia,01,0,4.4,1,"Jefferson, Alabama",209.0,3.65,"Baldwin, Alabama",69.3,1.44,O'Neal Comprehensive Cancer Center (UAB),208.7,3.73,204.3,56.9,205.3,O'Neal Comprehensive Cancer Center (UAB)
01055,Etowah,01,0,0.7,1,"Jefferson, Alabama",61.8,1.01,"Jefferson, Alabama",61.8,1.01,O'Neal Comprehensive Cancer Center (UAB),60.7,1.0,68.0,68.0,66.6,O'Neal Comprehensive Cancer Center (UAB)
01057,Fayette,01,0,2.3,1,"Jefferson, Alabama",74.5,1.5,"Lowndes, Mississippi",45.0,0.96,O'Neal Comprehensive Cancer Center (UAB),75.5,1.52,68.2,46.2,69.0,O'Neal Comprehensive Cancer Center (UAB)
01059,Franklin,01,0,2.0,1,"Jefferson, Alabama",104.8,2.23,"Union, Mississippi",90.1,1.93,O'Neal Comprehensive Cancer Center (UAB),105.7,2.26,103.5,83.2,103.5,O'Neal Comprehensive Cancer Center (UAB)
01061,Geneva,01,0,3.9,1,"Jefferson, Alabama",197.7,3.79,"Baldwin, Alabama",149.7,3.13,O'Neal Comprehensive Cancer Center (UAB),197.3,3.88,213.4,148.4,213.9,O'Neal Comprehensive Cancer Center (UAB)
01063,Greene,01,0,0.5,1,"Jefferson, Alabama",87.4,1.6,"Lowndes, Mississippi",68.2,1.38,O'Neal Comprehensive Cancer Center (UAB),87.9,1.61,95.8,65.4,97.1,O'Neal Comprehensive Cancer Center (UAB)
01065,Hale,01,0,2.4,1,"Jefferson, Alabama",83.4,1.61,"Jefferson, Alabama",83.4,1.61,O'Neal Comprehensive Cancer Center (UAB),84.0,1.62,83.2,80.8,84.4,O'Neal Comprehensive Cancer Center (UAB)
01067,Henry,01,0,2.4,1,"Fulton, Georgia",193.4,4.09,"Coweta, Georgia",154.6,3.03,Winship Cancer Institute (Emory),190.2,3.99,201.1,162.7,199.2,Winship Cancer Institute (Emory)
01069,Houston,01,4,0.2,1,"Jefferson, Alabama",196.3,3.73,"Coweta, Georgia",171.3,3.36,O'Neal Comprehensive Cancer Center (UAB),195.9,3.81,215.8,177.2,216.1,O'Neal Comprehensive Cancer Center (UAB)
01071,Jackson,01,0,0.1,1,"Jefferson, Alabama",102.6,2.14,"Hamilton, Tennessee",61.8,1.31,O'Neal Comprehensive Cancer Center (UAB),101.9,2.13,116.7,58.9,115.5,O'Neal Comprehensive Cancer Center (UAB)
01073,Jefferson,01,164,0.4,1,"Jefferson, Alabama",0.0,0.0,"Jefferson, Alabama",0.0,0.0,O'Neal Comprehensive Cancer Center (UAB),1.7,0.04,0.0,0.0,1.3,O'Neal Comprehensive Cancer Center (UAB)
01075,Lamar,01,0,0.1,1,"Jefferson, Alabama",95.6,1.93,"Lowndes, Mississippi",27.3,0.58,O'Neal Comprehensive Cancer Center (UAB),96.5,1.95,91.8,27.8,92.6,O'Neal Comprehensive Cancer Center (UAB)
01077,Lauderdale,01,0,1.9,1,"Davidson, Tennessee",113.3,2.4,"Union, Mississippi",106.6,2.27,Vanderbilt-Ingram Cancer Center,111.3,2.38,120.5,100.7,119.1,Vanderbilt-Ingram Cancer Center
01079,Lawrence,01,0,0.6,1,"Jefferson, Alabama",86.8,1.57,"Jefferson, Alabama",86.8,1.57,O'Neal Comprehensive Cancer Center (UAB),86.1,1.57,90.6,90.6,90.1,O'Neal Comprehensive Cancer Center (UAB)
01081,Lee,01,0,0.7,1,"Fulton, Georgia",110.7,1.97,"Coweta, Georgia",71.4,1.17,Winship Cancer Institute (Emory),107.2,1.89,122.6,78.4,116.8,Winship Cancer Institute (Emory)
