cd_geoid,state_fips,state,cd,pop55_weighted,n_counties_touched,pct_pop55_in_counties_with_zero_trials,wmean_trials_in_own_county,wmean_dist_to_broad_menu_mi,wmean_dist_to_limited_menu_mi,wmean_dist_to_nci_mi,wmean_trials_within_60mi,wmean_oral_trials_within_60mi,wmean_oral_indeterminate_within_60mi,pct_pop55_beyond_60mi_of_broad_menu,pct_pop55_beyond_60mi_of_limited_menu,pct_pop55_beyond_120mi_of_broad_menu,pct_pop55_beyond_120mi_of_limited_menu
0101,01,Alabama,01,264496,9,27.3,16.0,234.1,58.9,234.8,34.0,18.0,4.0,100.0,35.7,100.0,30.6
0102,01,Alabama,02,189344,13,39.0,9.0,163.9,77.5,163.8,14.0,8.0,2.0,100.0,72.8,62.8,16.4
0103,01,Alabama,03,223041,11,100.0,0.0,76.7,63.5,74.4,45.0,22.0,4.0,75.6,64.4,19.2,0.0
0104,01,Alabama,04,239198,13,85.1,0.0,75.4,64.4,75.0,78.0,38.0,7.0,55.8,51.3,9.6,0.0
0105,01,Alabama,05,226207,6,48.3,6.0,101.1,94.4,100.2,13.0,10.0,0.0,100.0,91.8,4.0,0.0
0106,01,Alabama,06,213677,8,32.7,60.0,30.6,30.6,31.4,128.0,61.0,12.0,22.5,22.5,0.0,0.0
0107,01,Alabama,07,195465,13,29.6,97.0,39.6,32.1,40.9,117.0,55.0,11.0,29.6,26.3,9.1,1.8
0200,02,Alaska,00,187882,30,62.1,20.0,1686.6,199.8,1678.0,28.0,14.0,2.0,100.0,47.6,100.0,36.9
0401,04,Arizona,01,216371,1,0.0,361.0,0.0,0.0,7.5,363.0,164.0,54.0,0.0,0.0,0.0,0.0
0402,04,Arizona,02,348428,9,23.8,23.0,102.9,95.7,98.5,106.0,48.0,16.0,70.9,68.8,28.2,26.1
0403,04,Arizona,03,27919,1,0.0,361.0,0.0,0.0,7.5,363.0,164.0,54.0,0.0,0.0,0.0,0.0
0404,04,Arizona,04,24180,1,0.0,361.0,0.0,0.0,7.5,363.0,164.0,54.0,0.0,0.0,0.0,0.0
0405,04,Arizona,05,35811,2,0.0,312.0,6.4,6.4,13.8,363.0,164.0,54.0,0.0,0.0,0.0,0.0
0406,04,Arizona,06,156912,5,32.9,52.0,39.0,39.0,41.9,138.0,67.0,18.0,32.9,32.9,1.5,1.5
0407,04,Arizona,07,760455,6,6.0,238.0,9.5,9.5,16.9,251.0,117.0,35.0,6.0,6.0,3.6,3.6
0408,04,Arizona,08,77898,1,0.0,361.0,0.0,0.0,7.5,363.0,164.0,54.0,0.0,0.0,0.0,0.0
0409,04,Arizona,09,581681,4,7.6,277.0,46.2,12.0,51.2,279.0,126.0,41.0,24.3,7.6,24.3,6.0
0501,05,Arkansas,01,255052,31,82.2,9.0,124.9,47.6,121.1,37.0,16.0,4.0,90.5,41.3,54.4,0.0
0502,05,Arkansas,02,200734,8,25.7,35.0,167.8,22.5,162.2,85.0,31.0,9.0,100.0,8.8,100.0,0.0
0503,05,Arkansas,03,185497,6,19.1,30.0,222.0,5.0,229.2,65.0,26.0,5.0,100.0,0.0,100.0,0.0
