nct_id,brief_title,conditions,cancer_type_label,multi_subtype,categories_matched,hand_check_category,agree
NCT06554158,De-escalation of Adjuvant Radiation for Low-Risk HPV Oropharyngeal Cancers,Oropharynx Cancer,Head & neck,,head_neck,,
NCT01913106,HSV-tk + Valacyclovir Therapy in Combination With Brachytherapy for Recurrent Prostate Cancer,Prostatic Neoplasms,Prostate,,prostate,,
NCT07807241,A Study of MX006 in Patients With Advanced and/or Metastatic Tumors Known to Express B7-H3,Advanced and/or Metastatic Solid Tumors Known to Express B7-H3,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,,
NCT05357794,Effectiveness of Concurrent Ultra-Low-Dose Total-Skin Electron Beam Therapy and Brentuximab Vedotin Given Quarterly Over 12 Months for Patients With Mycosis Fungoides,Mycosis Fungoides,Lymphoma,,lymphoma,,
NCT05382559,A Study of ASP3082 in Adults With Advanced Solid Tumors,Solid Tumor,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,,
NCT06674889,Rehabilitation Outcomes Study,Cancer;Malignant Tumor,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,,
NCT07643012,Adaptive Daily MR-Guided Adjuvant Pelvic Therapy-Endometrial Cancer,Endometrial Cancer,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,,
NCT03760575,Pembrolizumab in Combination With Chemotherapy and Image-Guided Surgery for Malignant Pleural Mesothelioma (MPM),Mesotheliomas Pleural,Lung & thoracic,,lung,,
NCT05776979,Post-Transplant Maintenance Therapy With Isatuximab Plus Lenalidomide for High-Risk Multiple Myeloma Patients,Multiple Myeloma,Myeloma & plasma cell,,myeloma,,
NCT06238648,Epcoritamab Compared to Observation for Treating B-cell Lymphoma Patients Not in Complete Remission After CD19-directed CAR-T Therapy,"Diffuse Large B-Cell Lymphoma, Not Otherwise Specified;Primary Mediastinal Large B-Cell Lymphoma;Transformed Indolent B-Cell Non-Hodgkin Lymphoma to Diffuse Large B-Cell Lymphoma",Lymphoma,,lymphoma,,
NCT06780098,Substudy 01I: A Study of Investigational Agents in Participants With Previously Treated Stage IV Squamous Non-small Cell Lung Cancer (NSCLC) (MK-3475-01I/KEYMAKER-U01I),Lung Neoplasm,Lung & thoracic,,lung,,
NCT04864054,GPC3-Targeted T-Cell Therapy (ECT204) in Adults With Advanced HCC,"Hepatocellular Carcinoma;Liver Cancer, Adult;Liver Neoplasm;Metastatic Liver Cancer",Liver & biliary,,liver_biliary,,
NCT06824818,Study to Assess the Feasibility of Stopping Prostate Cancer Treatment Early in Elderly Patients,Elderly;Prostate Cancer,Prostate,,prostate,,
NCT05568550,Pembro With Radiation With or Without Olaparib,Prostate Cancer,Prostate,,prostate,,
NCT06926634,Zanzalintinib Maintenance in Patients With High Grade Neuroendocrine Neoplasms (HG-NENs),High Grade Neuroendocrine Neoplasms,Neuroendocrine & endocrine,,neuroendocrine_endocrine,,
NCT07218380,A Study of Vepugratinib (LY3866288) in Participants With Cancer in the Urinary Tract,"Carcinoma, Transitional Cell;Urinary Bladder Neoplasms;Neoplasm Metastasis",Bladder & urothelial,,bladder_urothelial,,
NCT06043674,"Phase 2 Study of Glofitamab Monotherapy & With Polatuzumab Vedotin, Pirtobrutinib, or Atezolizumab in Richter's Transformation",Chronic Lymphocytic Leukemia;Richter's Transformation,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;lymphoma,,
NCT06950385,Phase 3 Trial of eRapa in Patients With Familial Adenomatous Polyposis,Familial Adenomatous Polyposis (FAP),Other / unclassified,,,,
NCT07602842,A Study of IDP-001 in Advanced or Metastatic Solid Tumors,Advanced Solid Tumor;Metastatic Solid Tumor;Head and Neck Squamous Cell Carcinoma;Cutaneous Squamous Cell Carcinoma;Squamous Cell Carcinoma of the Cervix;Non Squamous Non Small Cell Lung Cancer;Squamous Cell Carcinoma of the Esophagus;Squamous Cell Carcinoma of the Anus;Squamous Cell Carcinoma,Multiple cancer types / basket or umbrella,multiple named cancers,gastric_esophageal;gynecologic;head_neck;lung;melanoma_skin,,
NCT07022483,Study of Trastuzumab Deruxtecan Versus Standard of Care Chemotherapy for HER2-Expressing (IHC 3+/2+) Endometrial Cancer,Endometrial Cancer,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,,
