nct_id,brief_title,conditions,cancer_type_label,multi_subtype,categories_matched,hand_check_category,agree,first_pass_label,first_pass_agree,note
NCT07539441,A Study of Mirdametinib in People With Central Nervous System Tumors,Central Nervous System Tumors;Glioma,Brain & CNS,,brain_cns,Brain & CNS,1,Brain & CNS,1,
NCT06488222,Intravesical Gemcitabine and Docetaxel for Low Grade Intermediate Risk Bladder Cancer,Bladder Cancer,Bladder & urothelial,,bladder_urothelial,Bladder & urothelial,1,Bladder & urothelial,1,
NCT05303519,SIGMA (Safusidenib in IDH1 Mutant Glioma Maintenance),"Glioma;Astrocytoma, Grade IV;IDH1-mutant Glioma;Astrocytoma, IDH-Mutant, Grade 3;Astrocytoma, IDH-Mutant, Grade 4;Astrocytoma, IDH-Mutant, Grade 2;Oligodendroglioma;Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted",Brain & CNS,,brain_cns,Brain & CNS,1,Brain & CNS,1,
NCT04253964,Pilot Study of Performance Status 2 vs. Performance Status 0-1 Non-small Cell Lung Cancer Patients Treated With Chemo/Immunotherapy,Nonsmall Cell Lung Cancer;Performance Status,Lung & thoracic,,lung,Lung & thoracic,1,Lung & thoracic,1,
NCT06542250,"A Study to Evaluate Safety, PK, PD and Efficacy of AZD5492, a T Cell-engaging Antibody Targeting CD20 in Subjects With R/R B-Cell Malignancies.",B-cell Malignancies,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,Multiple cancer types / basket or umbrella,1,Multiple cancer types / basket or umbrella,1,'B-cell malignancies' only: multi/unspecified heme is the intended bucket
NCT07362888,First-in-Human Study of ADCE-B05 in Patients With Advanced Solid Tumors,Solid Tumors (Phase 1),Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,Multiple cancer types / basket or umbrella,1,Multiple cancer types / basket or umbrella,1,
NCT05107674,A Study of NX-1607 in Adults With Advanced Malignancies,"Ovarian Cancer, Epithelial;Gastric Cancer;GastroEsophageal Junction (GEJ) Cancer;Head and Neck Squamous Cell Carcinoma;Metastatic or Unresectable Melanoma;Non-small Cell Lung Cancer (NSCLC);Metastatic Castration-resistant Prostate Cancer (mCRPC);Malignant Pleural Mesothelioma (MPM);Triple Negative Breast Cancer (TNBC);Metastatic Urothelial Carcinoma;Cervical Cancer;Diffuse Large B Cell Lymphoma (DLBCL);Richter Transformation;Microsatellite Stable Colorectal Carcinoma",Multiple cancer types / basket or umbrella,multiple named cancers,bladder_urothelial;breast;colorectal;gastric_esophageal;gynecologic;head_neck;lung;lymphoma;melanoma_skin;prostate,Multiple cancer types / basket or umbrella,1,Multiple cancer types / basket or umbrella,1,
NCT07578571,A Phase 1 Study of IM-1617 in Participants With Advanced Cancer,Colorectal Cancer;Non-Small Cell Lung Cancer;Breast Cancer;Esophageal Cancer;Stomach Cancer;Cancer,Multiple cancer types / basket or umbrella,multiple named cancers,breast;colorectal;gastric_esophageal;lung,Multiple cancer types / basket or umbrella,1,Multiple cancer types / basket or umbrella,1,
NCT07281768,Capecitabine/Oxaliplatin Chemotherapy and Cemiplimab With or Without Fianlimab or REGN7075 in Locally Advanced Rectal Cancer,Colorectal Cancer,Colorectal,,colorectal,Colorectal,1,Colorectal,1,
NCT06265727,A Phase 1/2 Study to Investigate CRB-701 in Solid Tumors,"Solid Tumor, Adult",Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,Multiple cancer types / basket or umbrella,1,Multiple cancer types / basket or umbrella,1,
NCT05915442,Adenosine Signaling Modulation and Immune Checkpoint Inhibition With Hormone Sensitive Oligometastatic Prostate Cancer,Oligometastatic Prostate Cancer,Prostate,,prostate,Prostate,1,Prostate,1,
NCT06548412,"CTX-009 With Gemcitabine, Cisplatin, and Durvalumab as First-line Therapy in Patients With Unresectable or Metastatic Biliary Tract Cancers",Metastatic Biliary Tract Cancer,Liver & biliary,,liver_biliary,Liver & biliary,1,Liver & biliary,1,
NCT06641908,Anti-GD2 ADC M3554 in Advanced Solid Tumors,Advanced Solid Tumor,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,Multiple cancer types / basket or umbrella,1,Multiple cancer types / basket or umbrella,1,
NCT03942328,Modified Immune Cells (Autologous Dendritic Cells) and a Vaccine (Prevnar) Combined With Immune Checkpoint Inhibition After High-Dose External Beam Radiation Therapy in Treating Patients With Unresectable Liver Cancer,Stage III Hepatocellular Carcinoma AJCC v8;Stage III Intrahepatic Cholangiocarcinoma AJCC v8;Stage IV Hepatocellular Carcinoma AJCC v8;Stage IV Intrahepatic Cholangiocarcinoma AJCC v8;Unresectable Hepatocellular Carcinoma;Unresectable Intrahepatic Cholangiocarcinoma,Liver & biliary,,liver_biliary,Liver & biliary,1,Liver & biliary,1,
NCT05870800,Phase II Open-label Trial of Neoadjuvant Immunochemotherapy for Resectable Non-metastatic Colon cancER: NICER,Stage I Colon Cancer;Stage II Colon Cancer;Stage III Colon Cancer,Colorectal,,colorectal,Colorectal,1,Colorectal,1,
NCT07428044,A Study of Trastuzumab Deruxtecan in People With Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer;Non-small Cell Lung Cancer Stage II;Non-Small Cell Lung Cancer Stage IIIA;Non-Small Cell Lung Cancer Stage IIIB,Lung & thoracic,,lung,Lung & thoracic,1,Lung & thoracic,1,
NCT05837767,A Study of Radiation Therapy to Treat Solid Tumor Cancer That Has Spread to Soft Tissue,Invasive Ductal Breast Carcinoma;Invasive Ductal Breast Carcinoma Stage IV;Lobular Breast Carcinoma;Lobular Breast Carcinoma Stage IV;Non Small Cell Lung Cancer;NSCLC;Gastrointestinal Cancer;Gastrointestinal Squamous Cell Cancer;Gastrointestinal Adenocarcinoma;Pancreatic Cancer;Bladder Cancer;Renal Cell Carcinoma;Melanoma;Sarcoma;Metastatic Solid Tumor,Multiple cancer types / basket or umbrella,multiple named cancers,bladder_urothelial;breast;kidney;lung;melanoma_skin;pancreatic;sarcoma,Multiple cancer types / basket or umbrella,1,Multiple cancer types / basket or umbrella,1,
NCT05661461,Dose-escalation Study to Assess Safety and Pharmacokinetics of Nab-Sirolimus in Patients With Locally Advanced or Metastatic Solid Tumors and Moderate Liver Impairment,"Tumor, Solid;Tumor;Advanced Solid Tumor",Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,Multiple cancer types / basket or umbrella,1,Multiple cancer types / basket or umbrella,1,
NCT03541928,"Phase II High Risk Prostate Cancer Trial Using Gene & Androgen Deprivation Therapies, Radiotherapy, & Surgery",High-risk Prostate Cancer;Prostate Cancer,Prostate,,prostate,Prostate,1,Prostate,1,
NCT06551584,Trial for Patients w/ Advanced Hematologic Malignancies Undergoing Allogeneic HCT,Acute Myeloid Leukemia;Acute Lymphoid Leukemia;Mixed Phenotype Acute Leukemia;Myelodysplastic Syndromes,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;mds_mpn,Multiple cancer types / basket or umbrella,1,Multiple cancer types / basket or umbrella,1,
