nct_id,cancer_type,cancer_type_label,multi_subtype,categories_matched,generic_listed,source,brief_title,conditions
NCT07137598,other_unclassified,Other / unclassified,,,0,none,A Study to Assess the Efficacy and Safety of RO7790121 in Participants With Moderate to Severe Rheumatoid Arthritis Who Have Not Responded to or Who Cannot Tolerate Tumor Necrosis Factor (TNF) and/or Janus Kinase (JAK Inhibitors),Rheumatoid Arthritis
NCT05675930,other_unclassified,Other / unclassified,,,0,none,A Study of Photobiomodulation (PBM) Therapy in People With Oral Graft-Versus-Host Disease (GVHD) After Stem Cell Transplant,Graft-Versus-Host Disease;GVHD;Undefined
NCT03750981,other_unclassified,Other / unclassified,,,0,none,C.A.P.A.B.L.E. (CrossFit® and Physical Activity: A Better Life Experience),Cancer Survivors
NCT03370406,other_unclassified,Other / unclassified,,,0,none,"Intralesional 5-Fluorouracil (5FU), Topical Calcipotriene Treatment for SCC","Carcinoma, Squamous Cell"
NCT06840262,other_unclassified,Other / unclassified,,,0,none,Target Muscle Re-innervation and Regenerative Peripheral Nerve Interfaces Alone and in Combination for the Treatment of Residual and Phantom Limb Pain in Cancer Patients Who Have Received an Amputation,Amputation
NCT07642856,other_unclassified,Other / unclassified,,,0,none,Individualized Neuro-Modulation Paired With Cerebellar Therapy,Cerebellar Ataxia;Cerebellar Diseases;Cerebellar Stroke;Cerebellar Tumor
NCT05215353,other_unclassified,Other / unclassified,,,0,none,A Study Comparing Music Therapy and Cognitive Behavioral Therapy for Anxiety in Cancer Survivors,Survivorship
NCT05356182,other_unclassified,Other / unclassified,,,0,none,A Pilot and Feasibility Study of a Dietary Intervention With Low-protein Meals in Cancer Patients Receiving Immunotherapies,Medical Oncology;Integrative Oncology;Medical Nutrition Therapy
NCT05971758,other_unclassified,Other / unclassified,,,0,none,"Fimepinostat, Combination HDAC and Pi3-kinase Inhibitor Tumor-Directed Therapy for Cushing Disease",Cushing Disease
NCT07033598,other_unclassified,Other / unclassified,,,0,none,Pacritinib vs. Hydroxyurea in Advanced Proliferative Chronic Myelomonocytic Leukemia,"Leukemia, Myelomonocytic, Chronic"
NCT07637630,other_unclassified,Other / unclassified,,,0,none,Trial in HPV Prevention for the U.S. Vietnamese Community,HPV-related Cancers;HPV Vaccination
NCT05808634,other_unclassified,Other / unclassified,,,0,none,Phase 1 Study Evaluating BA3182 in Patients With Advanced Adenocarcinoma.,Advanced Adenocarcinoma
NCT05574127,other_unclassified,Other / unclassified,,,0,none,A Study of Brief Behavioral Activation for the Treatment of Depression in Older Adult Cancer Survivors,Survivorship
NCT06807086,other_unclassified,Other / unclassified,,,0,none,"Efficacy of Synchronous, Virtual Cognitive Behavioral Therapy for Insomnia Across Phases of Cancer Survivorship",Insomnia Chronic
NCT02638701,other_unclassified,Other / unclassified,,,0,none,Infliximab Therapy for Dolichoectactic Vertebrobasilar Aneurysms,Aneurysm;Stroke;Vasculitis;Tumor Necrosis Factor-alpha
NCT06851936,other_unclassified,Other / unclassified,,,0,none,Developing a Scalable Tobacco Cessation Program for Cancer Survivors and Caregivers,Nicotine Use;Tobacco Use
NCT06517888,other_unclassified,Other / unclassified,,,0,none,Anti-VEGF Gene Therapy Trial for Vestibular Schwannoma,Vestibular Schwannoma
NCT07530172,other_unclassified,Other / unclassified,,,0,none,Radioembolization Versus External Radiation Therapy,Heptocellular Cancer
NCT06861244,other_unclassified,Other / unclassified,,,0,none,Embryonal Tumor With Multilayered Rosettes,"Embryonal Tumor With Multilayered Rosettes;Embryonal Tumor With Multilayered Rosettes, Nos"
NCT07002034,other_unclassified,Other / unclassified,,,0,none,RE104 Safety and Efficacy Study in Adjustment Disorder in Cancer and Other Medical Illnesses,Adjustment Disorder
NCT05684692,other_unclassified,Other / unclassified,,,0,none,Screening Trial for Pain Relief in Schwannomatosis (STARFISH),"Schwannomatosis;Schwannomas;Pain, Chronic"
NCT06814977,other_unclassified,Other / unclassified,,,0,none,An Acupuncture Study for Cancer Survivors With Joint Pain,Cancer Survivor
NCT05356741,other_unclassified,Other / unclassified,,,0,none,To Access the Safety and Effects of Intravenous Administration of VIR-5818 Alone and in Combination With Pembrolizumab in Adult Participants With Locally Advanced or Metastatic HER2-Expressing Cancers,Locally Advanced or Metastatic HER2-Expressing Cancers
NCT05027633,other_unclassified,Other / unclassified,,,0,none,Immunotherapy With Chemotherapy and Chemoradiation for Advanced Squamous Cancer of Nasal Cavity / Paranasal Sinuses (I-NAPA),Squamous Cell Carcinoma;the Nasal Cavity;Paranasal Sinuses
NCT05687604,other_unclassified,Other / unclassified,,,0,none,Scalable TELeheaLth Cancer CARe: The STELLAR Program to Treat Cancer Risk Behaviors,Obesity;Smoking Cessation;Physical Inactivity
NCT06266611,other_unclassified,Other / unclassified,,,0,none,Cannabis for Palliative Care in Cancer,Sleep;Anxiety;Depression;Pain
NCT05359848,other_unclassified,Other / unclassified,,,0,none,"A Pilot, Feasibility Study of Intermittent Caloric Restriction Plus Plant-based Diet in Cancer Patients Receiving Chemotherapy",Medical Oncology;Integrative Oncology;Medical Nutrition Therapy
NCT05838729,other_unclassified,Other / unclassified,,,0,none,Study of RiMO-301 and Radiotherapy With PD-1 Inhibitor for the Treatment of Head-Neck Cancer,Head Neck Cancer;Intratumoral Injection
