nct_id,brief_title,conditions,n_us_sites
NCT07153614,Efficacy of Perioperative Opioid Sparing Techniques on Time to Initiation of Chemotherapy,Perioperative Opioid Sparing Techniques,1
NCT06143631,Prescription of Letrozole for Uterine Myoma,"Leiomyoma, Uterine;Leiomyoma;Fibroid;Fibroid Uterus",5
NCT03266653,EBV-specific Cytotoxic T-lymphocytes (CTLs) for Refractory EBV Infection,Epstein-Barr Virus Infections;Primary Immune Deficiency Disorder,8
NCT05265273,A Study of Nipocalimab in Children Aged 2 to Less Than 18 Years With Generalized Myasthenia Gravis,Myasthenia Gravis,8
NCT07552077,"A Phase 2, Baseline-Controlled Study Evaluating the Safety and Efficacy of PTX-022 (Sirolimus) Topical Gel 3.9% in the Treatment of Angiokeratomas (LOTU)",Angiokeratomas,2
NCT06414954,Safety and Efficacy of 3 Dose Levels of NMD670 in Adult Patients With Myasthenia Gravis,"Myasthenia Gravis;Myasthenia Gravis, MuSK",9
NCT06832306,STimulation to Activate RespIration,ARDS (Moderate or Severe);AHRF;Mechanically Ventilated ICU Patients,5
NCT06430788,A Study of Emapalumab for Pediatric Aplastic Anemia,Aplastic Anemia;Cytopenia;Hypocellular Marrow,5
NCT07286188,Effect of Misoprostol on Fluid Deficit Volume in Hysteroscopic Myomectomy,"Fibroids, Uterine;Fluid Deficit;Hysteroscopy / Methods",1
NCT02532452,Third Party Viral Specific T-cells (VSTs),Viral Infection;Viral Reactivation;Infection in an Immunocompromised Host,3
NCT07249840,Ropeginterferon for High Risk JAK2 Clonal Hematopoiesis,JAK2 Mutation,1
NCT07361874,IMPACT-MACS: Adrenalectomy vs Semaglutide for Metabolic Outcomes in Mild Autonomous Cortisol Secretion,Mild Autonomous Cortisol Secretion (MACS);Autonomous Cortisol Secretion (ACS);Subclinical Cushing's;Mild Autonomous Cortisol Excess,1
NCT07104812,Impact of 1 mg Osilodrostat Therapy on Mild Autonomous Cortisol Secretion (MACS),Mild Autonomous Cortisol Secretion;Autonomous Cortisol Secretion (ACS),1
