nct_id,brief_title,conditions,setting,setting_terms,hand_check,agree
NCT06424067,Phase 2 Study of Fingolimod in Lung Cancers,Non Small Cell Lung Cancer;Small-cell Lung Cancer,not_stated,,,
NCT07128680,Immunotherapy (Nivolumab and Ipilimumab) With and Without a Live Biotherapeutic Product (EXL01) for the Treatment of Metastatic Renal Cell Cancer,Advanced Clear Cell Renal Cell Carcinoma;Advanced Sarcomatoid Renal Cell Carcinoma;Metastatic Clear Cell Renal Cell Carcinoma;Metastatic Sarcomatoid Renal Cell Carcinoma;Stage III Renal Cell Cancer AJCC v8;Stage IV Renal Cell Cancer AJCC v8,multiple,advanced;first-line;metasta;stage iii;stage iv,,
NCT06216938,RP1 in Primary Melanoma to Reduce the Risk of Sentinel Lymph Node Metastasis,Melanoma,advanced,metasta,,
NCT07549958,PhIbRandomGemcitabine(G)w/or w/Out Pitavastatin(P)MainTx UnresecPancreaticAdenocarcinoma(uPDAC),Pancreatic Cancer;Pancreatic Cancer Metastatic,advanced,metasta;unresectable,,
NCT05586360,T-reg Function Changes: a Novel Immune Regulatory Effect Underlying Benefit of Statin Use on Lethal Prostate Cancer,Prostate Cancer,not_stated,,,
NCT07332455,First-Time-in-Human Study of GSK5471713 in Adults With mCRPC,"Neoplasms, Prostate",advanced,castration resistant;mcrpc;metasta,,
NCT04844528,Effects of Nicotinamide in Patients With Chronic Lymphocytic Leukemia With History of Non-melanoma Skin Cancers,Chronic Lymphocytic Leukemia;Non-melanoma Skin Cancer (NMSC),not_stated,,,
NCT04368702,CONFIRM: Magnetic Resonance Guided Radiation Therapy,Gastric Cancer;Invasive Breast Cancer;in Situ Breast Cancer;Mantle Cell Lymphoma;Larynx Cancer;Bladder Cancer,early,in situ,,
NCT03370406,"Intralesional 5-Fluorouracil (5FU), Topical Calcipotriene Treatment for SCC","Carcinoma, Squamous Cell",not_stated,,,
NCT06101290,Locally Ablative TherapY in Oligo-ProgressiVe GEnitourinary TumoRs (LAYOVER),Prostate Cancer;Oligoprogressive;Urothelial Carcinoma;Renal Cell Carcinoma,not_stated,,,
NCT06958328,Testing Higher Dose Radiation Therapy for Locally Advanced Pancreatic Cancer,Locally Advanced Unresectable Pancreatic Ductal Adenocarcinoma;Stage II Pancreatic Cancer AJCC v8;Stage III Pancreatic Cancer AJCC v8;Stage IV Pancreatic Cancer AJCC v8,multiple,advanced;stage ii;stage iii;stage iv;unresectable,,
NCT06750185,"Safety and Preliminary Effectiveness of BNT317, an Investigational Therapy for Advanced Solid Tumors",Advanced Solid Tumor,advanced,advanced,,
NCT07209449,A Study of Elacestrant Alone or in Combination With Abemaciclib in People With Endometrial Cancer,Endometrial Cancer,advanced,advanced;recurrent,,
NCT05544968,Anti-CD30 biAb-AATC in Patients With Relapsed/Refractory CD30 Positive Hematopoietic Malignancies,Hodgkin Disease;CD30-Positive Diffuse Large B-Cell Lymphoma;CD30+ Anaplastic Large Cell Lymphoma;CD30+ Pleomorphic Large T-Cell Cutaneous Lymphoma;CD30+ Immunoblastic Large T-Cell Cutaneous Lymphoma;Leukemia;Lymphoma,advanced,refractory;relapsed,,
NCT04165772,Study of Induction PD-1 Blockade in Subjects With Locally Advanced Mismatch Repair Deficient Solid Tumors,"Rectal Adenocarcinoma;Clinical Stage: Stage II (T3-4, N-);Stage III (Any T, N+);Solid Tumor;Solid Tumor, Adult",multiple,advanced;stage ii;stage iii,,
