nct_id,stored_status,stored_purpose,stored_phase,stored_max_age,stored_n_us_sites,live_status,live_purpose,live_phase,live_max_age,live_n_us_sites,match
NCT05388006,RECRUITING,TREATMENT,PHASE2,,1,RECRUITING,TREATMENT,PHASE2,,1,True
NCT06641908,RECRUITING,TREATMENT,PHASE1,,2,RECRUITING,TREATMENT,PHASE1,,2,True
NCT04107077,RECRUITING,TREATMENT,PHASE2,,1,RECRUITING,TREATMENT,PHASE2,,1,True
NCT07647328,RECRUITING,TREATMENT,PHASE3,130.0,2,RECRUITING,TREATMENT,PHASE3,130.0,2,True
NCT06067841,RECRUITING,TREATMENT,PHASE1,,7,RECRUITING,TREATMENT,PHASE1,,7,True
NCT07276373,RECRUITING,TREATMENT,PHASE1;PHASE2,,5,RECRUITING,TREATMENT,PHASE1;PHASE2,,5,True
NCT05588648,RECRUITING,TREATMENT,PHASE1;PHASE2,,1,RECRUITING,TREATMENT,PHASE1;PHASE2,,1,True
NCT06916767,RECRUITING,TREATMENT,PHASE1,,1,RECRUITING,TREATMENT,PHASE1,,1,True
NCT07339176,RECRUITING,TREATMENT,PHASE1;PHASE2,,1,RECRUITING,TREATMENT,PHASE1;PHASE2,,1,True
NCT05636618,RECRUITING,TREATMENT,PHASE1;PHASE2,90.0,19,RECRUITING,TREATMENT,PHASE1;PHASE2,90.0,19,True
NCT07071961,RECRUITING,TREATMENT,PHASE2,,1,RECRUITING,TREATMENT,PHASE2,,1,True
NCT05463263,RECRUITING,TREATMENT,PHASE1;PHASE2,,3,RECRUITING,TREATMENT,PHASE1;PHASE2,,3,True
NCT02926729,RECRUITING,TREATMENT,NA,,1,RECRUITING,TREATMENT,NA,,1,True
NCT05029999,RECRUITING,TREATMENT,PHASE1,99.0,5,RECRUITING,TREATMENT,PHASE1,99.0,5,True
NCT05854498,RECRUITING,TREATMENT,PHASE2,,1,RECRUITING,TREATMENT,PHASE2,,1,True
NCT05020860,RECRUITING,TREATMENT,PHASE2,,2,RECRUITING,TREATMENT,PHASE2,,2,True
NCT07227012,RECRUITING,TREATMENT,PHASE1;PHASE2,,40,RECRUITING,TREATMENT,PHASE1;PHASE2,,40,True
NCT03760575,RECRUITING,TREATMENT,PHASE1,,1,RECRUITING,TREATMENT,PHASE1,,1,True
NCT06867822,RECRUITING,TREATMENT,PHASE1,,1,RECRUITING,TREATMENT,PHASE1,,1,True
NCT04563507,RECRUITING,TREATMENT,PHASE2,90.0,3,RECRUITING,TREATMENT,PHASE2,90.0,3,True
NCT07101328,RECRUITING,TREATMENT,PHASE1,,20,RECRUITING,TREATMENT,PHASE1,,20,True
NCT04421560,RECRUITING,TREATMENT,PHASE1;PHASE2,,3,RECRUITING,TREATMENT,PHASE1;PHASE2,,3,True
NCT07285044,RECRUITING,TREATMENT,PHASE2,,1,RECRUITING,TREATMENT,PHASE2,,1,True
NCT05502523,RECRUITING,TREATMENT,NA,,4,RECRUITING,TREATMENT,NA,,4,True
NCT03970096,RECRUITING,TREATMENT,PHASE2,60.0,3,RECRUITING,TREATMENT,PHASE2,60.0,3,True
