county_fips,zip,shorter,longer,suggested_canonical
01003,36526,southern cancer center,southern cancer center p c,southern cancer center p c
01003,36526,southern cancer center,southern cancer center pc,southern cancer center pc
01003,36526,southern cancer center,southern cancer center scc,southern cancer center scc
01069,36303,dothan hematology oncology,xcancer research network dothan hematology oncology,xcancer research network dothan hematology oncology
01073,35233,the university of alabama at birmingham,the university of alabama at birmingham o neal comprehensive cancer center,the university of alabama at birmingham o neal comprehensive cancer center
01073,35233,university of alabama at birmingham o neal comprehensive cancer center,the university of alabama at birmingham o neal comprehensive cancer center,the university of alabama at birmingham o neal comprehensive cancer center
01073,35243,alabama oncology,alabama oncology grandview cancer center,alabama oncology grandview cancer center
01073,35243,alabama oncology,birmingham hematology and oncology associates d b a alabama oncology,birmingham hematology and oncology associates d b a alabama oncology
01073,35294,university of alabama,o neal comprehensive cancer center at university of alabama birmingham,o neal comprehensive cancer center at university of alabama birmingham
01073,35294,university of alabama,the university of alabama,the university of alabama
01073,35294,university of alabama,university of alabama 6th ave,university of alabama 6th ave
01073,35294,university of alabama,university of alabama at birmingham,university of alabama at birmingham
01073,35294,university of alabama,university of alabama at birmingham comprehensive cancer center,university of alabama at birmingham comprehensive cancer center
01073,35294,university of alabama,university of alabama at birmingham uab hospital,university of alabama at birmingham uab hospital
01073,35294,university of alabama at birmingham,university of alabama at birmingham comprehensive cancer center,university of alabama at birmingham comprehensive cancer center
01073,35294,university of alabama at birmingham,university of alabama at birmingham uab hospital,university of alabama at birmingham uab hospital
01089,35805,clearview cancer institute,clearview cancer institute huntsville cci drive,clearview cancer institute huntsville cci drive
02020,99508,alaska oncology and hematology,alaska oncology and hematology llc,alaska oncology and hematology llc
04013,85004,university of arizona,banner university medical center tucson university of arizona,banner university medical center tucson university of arizona
04013,85006,banner university medical center phoenix,banner university medical center phoenix campus banner good samaritan medical center,banner university medical center phoenix campus banner good samaritan medical center
04013,85006,medical dermatology specialists,medical dermatology specialists phoenix,medical dermatology specialists phoenix
04013,85054,mayo clinic,mayo clinic 1,mayo clinic 1
04013,85054,mayo clinic,mayo clinic arizona,mayo clinic arizona
04013,85054,mayo clinic,mayo clinic building phoenix,mayo clinic building phoenix
04013,85054,mayo clinic,mayo clinic cancer center,mayo clinic cancer center
04013,85054,mayo clinic,mayo clinic comprehensive cancer center,mayo clinic comprehensive cancer center
04013,85054,mayo clinic,mayo clinic comprehensive cancer center breast clinic,mayo clinic comprehensive cancer center breast clinic
04013,85054,mayo clinic,mayo clinic hospital,mayo clinic hospital
04013,85054,mayo clinic,mayo clinic hospital arizona,mayo clinic hospital arizona
04013,85054,mayo clinic,mayo clinic hospital in arizona,mayo clinic hospital in arizona
