nct_id,facility,city,state,zip5,county_fips,geocode,sp
NCT05359848,University at Buffalo / Great Lakes Cancer Care,Buffalo,NY,14203,36029,zip_centroid,2090
NCT05359848,University at Buffalo / Great Lakes Cancer Care,Buffalo,NY,14206,36029,zip_centroid,2094
NCT05469893,Colorado Blood Cancer Institute,Denver,CO,80218,08031,zip_centroid,1354
NCT05469893,Dana Farber Cancer Institute,Boston,MA,02115,25025,zip_centroid,2015
NCT05469893,Oregon Health & Science University,Portland,OR,97239,41051,zip_centroid,2328
NCT06483100,Washington University School of Medicine,St Louis,MO,63110,29510,zip_centroid,1126
NCT07516925,Memorial Sloan Kettering at Basking Ridge (Limited Protocol Activities),Basking Ridge,NJ,07920,34035,zip_centroid,1603
NCT07516925,Memorial Sloan Kettering Monmouth (Limited Protocol Activities),Middletown,NJ,07748,34025,zip_centroid,1520
NCT07516925,Memorial Sloan Kettering Bergen (Limited Protocol Activities),Montvale,NJ,07645,34003,zip_centroid,1739
NCT07516925,Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities),Commack,NY,11725,36103,zip_centroid,1696
NCT07516925,Memorial Sloan Kettering Westchester (Limited Protocol Activities),Harrison,NY,10604,36119,zip_centroid,1744
NCT07516925,Memorial Sloan Kettering Cancer Center,New York,NY,10065,36061,zip_centroid,1659
NCT07516925,Memorial Sloan Kettering Nassau (Limited Protocol Activities),Rockville Centre,NY,11553,36059,zip_centroid,1610
NCT05363111,City of Hope Medical Center,Duarte,CA,91010,06037,zip_centroid,622
NCT07195734,Banner University Medical Center - Tucson,Tucson,AZ,85719,04019,zip_centroid,333
NCT07195734,University of Arizona Cancer Center-North Campus,Tucson,AZ,85719,04019,zip_centroid,333
NCT07195734,USC / Norris Comprehensive Cancer Center,Los Angeles,CA,90033,06037,zip_centroid,588
NCT07195734,Stanford Cancer Institute Palo Alto,Palo Alto,CA,94304,06085,zip_centroid,960
NCT07195734,Sutter Medical Center Sacramento,Sacramento,CA,95816,06067,zip_centroid,1115
NCT07195734,University of California Davis Comprehensive Cancer Center,Sacramento,CA,95817,06067,zip_centroid,1112
NCT07195734,Emory Proton Therapy Center,Atlanta,GA,30308,13121,zip_centroid,514
NCT07195734,Emory University Hospital Midtown,Atlanta,GA,30308,13121,zip_centroid,514
NCT07195734,Northwestern University,Chicago,IL,60611,17031,zip_centroid,1935
NCT07195734,Rush MD Anderson Cancer Center,Chicago,IL,60612,17031,zip_centroid,1931
NCT07195734,Carle at The Riverfront,Danville,IL,61832,17183,zip_centroid,1475
NCT07195734,Northwestern Medicine Cancer Center Kishwaukee,DeKalb,IL,60115,17037,zip_centroid,1937
NCT07195734,Carle Physician Group-Effingham,Effingham,IL,62401,17049,zip_centroid,1240
NCT07195734,Northwestern Medicine Cancer Center Delnor,Geneva,IL,60134,17089,zip_centroid,1929
NCT07195734,Northwestern Medicine Glenview Outpatient Center,Glenview,IL,60026,17031,zip_centroid,1964
NCT07195734,Northwestern Medicine Grayslake Outpatient Center,Grayslake,IL,60030,17097,zip_centroid,2012
