sp,lat,lon,county_fips,geocode,n_trials,n_facilities
0,20.877263,-156.460289,15009,zip_centroid,4,1
1,21.291518,-157.826869,15003,zip_centroid,15,2
2,21.316548,-157.845053,15003,zip_centroid,27,12
3,21.344782,-158.022298,15003,zip_centroid,16,1
4,21.347097,-157.877337,15003,zip_centroid,21,2
5,21.355506,-157.821647,15003,zip_centroid,19,6
6,21.36005,-157.889776,15003,zip_centroid,4,1
7,21.406053,-157.884952,15003,zip_centroid,20,6
8,22.011419,-159.405069,15007,zip_centroid,8,1
9,25.444071,-80.467665,12086,city_centroid,1,1
10,25.607529,-80.343349,12086,zip_centroid,1,1
11,25.658379,-80.360893,12086,zip_centroid,88,20
12,25.700602,-80.405729,12086,zip_centroid,1,1
13,25.70232,-80.357503,12086,zip_centroid,1,1
14,25.702492,-80.2986,12086,zip_centroid,14,7
15,25.72085,-80.272571,12086,zip_centroid,57,9
16,25.731479,-80.23384,12086,zip_centroid,1,1
17,25.734345,-80.358271,12086,zip_centroid,11,6
18,25.737789,-80.311193,12086,zip_centroid,4,3
19,25.775163,-80.208615,12086,city_centroid,1,1
20,25.779492,-80.299573,12086,zip_centroid,3,3
21,25.779764,-80.198763,12086,zip_centroid,1,1
22,25.783834,-80.236333,12086,zip_centroid,6,6
23,25.787247,-80.205296,12086,zip_centroid,209,39
24,25.816916,-80.13566,12086,zip_centroid,65,15
25,25.824907,-80.310665,12086,zip_centroid,22,2
26,25.86219,-80.269677,12086,zip_centroid,16,8
27,25.884528,-80.236019,12086,zip_centroid,1,1
28,25.893769,-80.330087,12086,zip_centroid,5,4
29,25.89766,-80.151112,12086,zip_centroid,22,4
30,25.904642,-80.30208,12086,zip_centroid,1,1
31,25.943117,-80.214686,12086,zip_centroid,1,1
32,25.962149,-80.140904,12086,zip_centroid,32,10
33,26.014716,-80.340171,12011,zip_centroid,24,5
34,26.02313,-80.186539,12011,zip_centroid,43,11
35,26.026198,-80.295994,12011,zip_centroid,6,4
36,26.026358,-80.244633,12011,zip_centroid,4,3
37,26.030967,-80.164609,12011,city_centroid,1,1
38,26.060462,-80.369595,12011,zip_centroid,19,5
39,26.097256,-97.999651,48215,zip_centroid,7,5
40,26.101566,-80.120955,12011,zip_centroid,21,8
41,26.110469,-80.374015,12011,zip_centroid,2,1
42,26.112485,-80.27494,12011,zip_centroid,53,14
43,26.1126,-80.227875,12011,zip_centroid,1,1
44,26.135399,-80.226976,12011,county_centroid_city_disagrees,1,1
45,26.137498,-81.799105,12021,zip_centroid,3,1
46,26.149977,-80.275707,12011,zip_centroid,30,15
47,26.151759,-80.320939,12011,zip_centroid,1,1
48,26.162332,-98.248702,48215,zip_centroid,11,6
49,26.18599,-80.172721,12011,zip_centroid,1,1
50,26.18851,-80.104988,12011,zip_centroid,30,5
51,26.212501,-80.270158,12011,zip_centroid,25,12
52,26.241622,-80.133851,12011,city_centroid,1,1
53,26.245781,-80.267366,12011,zip_centroid,3,2
54,26.251909,-80.208929,12011,zip_centroid,12,9
55,26.255724,-97.6635,48061,zip_centroid,7,5
56,26.274498,-80.2604,12011,zip_centroid,29,10
57,26.277591,-98.237279,48215,zip_centroid,3,2
58,26.277754,-80.115325,12011,zip_centroid,2,3
59,26.280689,-98.183295,48215,zip_centroid,3,2
60,26.309716,-80.144905,12011,zip_centroid,49,5
61,26.347543,-80.114805,12099,zip_centroid,12,8
62,26.367713,-81.735659,12071,zip_centroid,7,2
63,26.369439,-97.588931,48489,city_centroid,1,1
64,26.455873,-80.107935,12099,zip_centroid,1,1
65,26.510332,-81.979563,12071,zip_centroid,7,4
66,26.514239,-81.696796,12071,zip_centroid,1,1
67,26.533736,-80.083152,12099,zip_centroid,1,1
68,26.534987,-81.825763,12071,zip_centroid,3,3
69,26.623381,-81.883191,12071,zip_centroid,42,14
70,26.62855,-81.948755,12071,zip_centroid,1,1
71,26.639352,-81.841388,12071,zip_centroid,4,2
72,26.646721,-80.250311,12099,zip_centroid,1,1
73,26.667732,-81.76395,12071,zip_centroid,11,3
74,26.715793,-80.066777,12099,zip_centroid,45,15
75,26.720347,-81.965502,12071,zip_centroid,3,1
76,26.757692,-80.091172,12099,zip_centroid,2,1
77,26.845662,-80.08735,12099,zip_centroid,1,1
78,26.935806,-80.128441,12099,zip_centroid,20,5
79,26.978179,-82.050437,12015,zip_centroid,4,2
80,26.983677,-82.337666,12115,zip_centroid,1,1
81,27.094564,-82.440895,12115,zip_centroid,3,2
82,27.103873,-82.335474,12115,zip_centroid,1,1
83,27.151753,-82.422567,12115,zip_centroid,10,4
84,27.199535,-80.255952,12085,zip_centroid,4,4
85,27.26022,-82.540908,12115,zip_centroid,1,1
86,27.297204,-80.29801,12111,zip_centroid,10,3
87,27.310893,-82.521168,12115,zip_centroid,19,14
88,27.324987,-82.471714,12115,zip_centroid,69,23
89,27.325788,-82.559997,12115,zip_centroid,9,4
90,27.338257,-82.543721,12115,city_centroid,1,1
91,27.400992,-82.527943,12081,zip_centroid,5,2
92,27.454365,-82.383383,12081,zip_centroid,3,1
93,27.483321,-82.585125,12081,zip_centroid,3,2
94,27.503346,-81.367739,12055,zip_centroid,1,1
95,27.559571,-99.462957,48479,zip_centroid,4,3
96,27.693944,-82.458577,12057,zip_centroid,8,1
97,27.729177,-97.385089,48355,zip_centroid,2,1
98,27.73397,-82.640314,12103,zip_centroid,25,10
99,27.770793,-82.632806,12103,zip_centroid,25,12
100,27.788266,-82.677461,12103,zip_centroid,3,3
101,27.807285,-82.773051,12103,zip_centroid,11,4
102,27.816844,-82.731621,12103,zip_centroid,14,5
103,27.833815,-99.681424,48479,zip_centroid,1,1
104,27.861107,-82.35506,12057,zip_centroid,1,1
105,27.899471,-80.659577,12009,zip_centroid,5,3
106,27.905836,-82.758774,12103,zip_centroid,5,4
107,27.909778,-82.295738,12057,zip_centroid,1,1
108,27.915109,-82.804026,12103,zip_centroid,2,2
109,27.944035,-82.473954,12057,zip_centroid,14,3
110,27.945591,-82.793988,12103,zip_centroid,11,3
111,27.965234,-82.519051,12057,zip_centroid,31,4
112,27.970086,-82.479673,12057,city_centroid,2,2
113,27.971442,-81.894476,12105,zip_centroid,4,4
114,27.985618,-82.464439,12057,zip_centroid,1,1
115,27.994018,-81.777505,12105,zip_centroid,1,1
116,28.001166,-82.582227,12057,zip_centroid,1,1
117,28.0029,-82.743429,12103,zip_centroid,1,1
118,28.008161,-82.688367,12103,zip_centroid,5,1
119,28.017072,-82.125766,12057,zip_centroid,4,1
120,28.033061,-82.724374,12103,zip_centroid,1,1
121,28.039315,-82.392428,12057,zip_centroid,2,1
122,28.050827,-82.449573,12057,zip_centroid,279,35
123,28.050996,-81.702533,12105,zip_centroid,8,1
124,28.079378,-80.622302,12009,zip_centroid,7,3
125,28.083694,-82.447872,12057,zip_centroid,2,2
126,28.087706,-82.761134,12103,zip_centroid,1,1
127,28.095476,-81.917942,12105,zip_centroid,9,2
128,28.145532,-80.649962,12009,zip_centroid,1,1
129,28.205247,-82.317108,12101,zip_centroid,1,1
130,28.211353,-82.655286,12101,zip_centroid,4,4
131,28.248334,-82.370909,12101,zip_centroid,14,1
132,28.274188,-82.529523,12101,zip_centroid,2,1
133,28.288759,-80.791442,12009,zip_centroid,4,4
134,28.295842,-81.348621,12097,zip_centroid,2,1
135,28.308991,-81.591266,12097,zip_centroid,12,7
136,28.431169,-81.323825,12095,zip_centroid,52,28
137,28.489898,-81.290154,12095,zip_centroid,3,2
138,28.512357,-81.360269,12095,zip_centroid,52,16
139,28.52078,-81.753851,12069,zip_centroid,13,2
140,28.524016,-81.723029,12069,city_centroid,1,1
141,28.536725,-81.242932,12095,zip_centroid,2,2
142,28.555617,-81.348447,12095,zip_centroid,25,5
143,28.558922,-82.542335,12053,zip_centroid,1,1
144,28.578577,-81.534116,12095,zip_centroid,7,3
145,28.579038,-81.394201,12095,zip_centroid,40,21
146,28.59917,-81.352238,12095,zip_centroid,1,1
147,28.608352,-81.300566,12117,zip_centroid,2,1
148,28.665624,-81.370356,12117,zip_centroid,12,5
149,28.771373,-81.353086,12117,zip_centroid,10,6
150,28.773431,-81.73023,12069,zip_centroid,1,1
151,28.813818,-82.483064,12017,zip_centroid,2,2
152,28.918072,-81.897655,12069,zip_centroid,2,2
153,28.942166,-81.306122,12127,zip_centroid,27,8
154,28.945019,-82.097528,12119,zip_centroid,1,1
155,29.125538,-82.309895,12083,zip_centroid,1,1
156,29.154472,-82.211485,12083,zip_centroid,18,10
157,29.161789,-82.126817,12083,zip_centroid,1,1
158,29.192391,-81.04676,12127,zip_centroid,3,2
159,29.232739,-81.068471,12127,zip_centroid,3,2
160,29.310761,-94.776472,48167,zip_centroid,7,3
161,29.422124,-98.525978,48029,zip_centroid,3,1
162,29.440446,-98.480293,48029,zip_centroid,1,1
163,29.460646,-98.571279,48029,zip_centroid,1,1
164,29.460896,-98.43834,48029,zip_centroid,1,1
165,29.462809,-98.524635,48029,city_centroid,5,4
166,29.468413,-98.528889,48029,zip_centroid,1,1
167,29.484685,-98.532945,48029,county_centroid_city_disagrees,1,1
168,29.494749,-98.396559,48029,zip_centroid,1,1
169,29.503785,-95.0873,48167,zip_centroid,24,3
170,29.505502,-98.577033,48029,zip_centroid,257,82
171,29.525291,-98.604382,48029,zip_centroid,39,14
172,29.538739,-98.491258,48029,zip_centroid,1,1
173,29.53942,-95.134993,48201,zip_centroid,24,11
174,29.539974,-98.42005,48029,zip_centroid,8,4
175,29.545041,-95.350692,48039,zip_centroid,8,1
176,29.561579,-95.099626,48201,zip_centroid,15,3
177,29.56504,-95.635059,48157,zip_centroid,29,10
178,29.566765,-98.615801,48029,zip_centroid,1,1
179,29.578671,-90.805402,22109,zip_centroid,1,1
180,29.586959,-95.225601,48201,zip_centroid,4,4
181,29.59023,-82.396199,12001,zip_centroid,23,9
182,29.617523,-95.60829,48157,zip_centroid,24,5
183,29.634209,-98.489808,48029,zip_centroid,2,2
184,29.64076,-82.343353,12001,zip_centroid,57,19
185,29.656113,-95.378696,48201,zip_centroid,1,1
186,29.67918,-82.372822,12001,zip_centroid,1,1
187,29.679537,-82.346793,12001,city_centroid,2,2
188,29.68025,-95.404913,48201,zip_centroid,52,20
189,29.685706,-95.434764,48201,zip_centroid,5,3
190,29.687947,-95.515725,48201,zip_centroid,1,1
191,29.693649,-98.068676,48187,zip_centroid,5,3
192,29.699048,-95.536507,48201,zip_centroid,1,1
193,29.704019,-95.460905,48201,zip_centroid,1,1
194,29.705557,-95.401754,48201,zip_centroid,946,120
195,29.718435,-95.423555,48201,zip_centroid,1,1
196,29.724272,-95.364242,48201,zip_centroid,1,1
197,29.734813,-95.416098,48201,zip_centroid,1,1
198,29.739314,-95.446424,48201,zip_centroid,8,4
199,29.740605,-95.560257,48201,zip_centroid,3,3
200,29.740948,-81.30016,12109,zip_centroid,4,2
201,29.744068,-95.48921,48201,zip_centroid,2,2
202,29.767148,-95.505627,48201,zip_centroid,17,6
203,29.770918,-95.698677,48201,zip_centroid,16,2
204,29.777978,-95.603102,48201,zip_centroid,24,3
205,29.785743,-95.388806,48201,city_centroid,3,3
206,29.796897,-95.49271,48201,zip_centroid,1,1
