site_id,county_fips,name,city,zip,n_rows,unresolved
S00000,01003,Gulf Health Hospitals Inc/Infirmary Cancer Care - Malbis,Daphne,36526,4,0
S00001,01003,Research Site,Daphne,36526,1,1
S00002,01003,Southern Cancer Center,Daphne,36526,4,0
S00003,01003,"Southern Cancer Center, P.C.",Daphne,36526,1,0
S00004,01003,"Southern Cancer Center, PC",Daphne,36526,6,0
S00005,01003,Southern Cancer Center (SCC,Daphne,36526,2,0
S00006,01003,Thomas Hospital,Fairhope,36532,7,0
S00007,01069,Dothan Hematology & Oncology,Dothan,36303,1,0
S00008,01069,Research Site,Dothan,36303,1,1
S00009,01069,XCancer Research Network / Dothan Hematology & Oncology,Dothan,36303,2,0
S00010,01073,Site # 0137,Birmingham,35233,1,1
S00011,01073,004,Birmingham,35233,1,0
S00012,01073,Alabama Oncology,Birmingham,35243,4,0
S00013,01073,"Alabama Oncology, Bessemer",Bessemer,35022,1,0
S00014,01073,"Alabama Oncology, Brookwood",Birmingham,35209,1,0
S00015,01073,"Alabama Oncology, Grandview Cancer Center",Birmingham,35243,1,0
S00016,01073,"Alabama Oncology, Princeton",Birmingham,35211,2,0
S00017,01073,"Alabama Oncology, St Vincent's Birmingham",Birmingham,35205,1,0
S00018,01073,"Alabama Oncology, St Vincent's East",Birmingham,35235,1,0
S00019,01073,Birmingham Hematology and Oncology Associates d/b/a Alabama Oncology,Birmingham,35243,1,0
S00020,01073,Birmingham Hematology and Oncology Associates LLC d/b/a Alabama Oncology,Birmingham,35223,1,0
S00021,01073,Central Alabama Research,Birmingham,35209,5,0
S00022,01073,Children's Hospital of Alabama,Birmingham,35233,2,0
S00023,01073,Children's of Alabama,Birmingham,35294,1,0
S00024,01073,Childrens of Alabama,Birmingham,35233,1,0
S00025,01073,Clinical Study Site,Birmingham,35294,1,0
S00026,01073,Dren Investigational Site,Birmingham,35233,1,0
S00027,01073,GSK Investigational Site,Birmingham,35294,1,0
S00028,01073,O'Neal Comprehensive Cancer Center at UAB,Birmingham,35294,3,0
S00029,01073,O'Neal Comprehensive Cancer Center at University of Alabama-Birmingham,Birmingham,35294,1,0
S00030,01073,"O'Neal Comprehensive Cancer Center, University of Alabama",Birmingham,35233,2,0
S00031,01073,Ohio State University-Telemedicine,Birmingham,35205,1,0
S00032,01073,Quetzal,Birmingham,35233,1,0
S00033,01073,Research Facility,Birmingham,35233,1,1
S00034,01073,Research Site,Birmingham,35233,4,1
S00035,01073,The Kirklin Clinic at Acton Road,Birmingham,35243,2,0
S00036,01073,The Kirklin Clinic of UAB Hospital,Birmingham,35233,3,0
S00037,01073,The Kirklin Clinic of University of Alabama Birmingham Hospital,Birmingham,35233,1,0
S00038,01073,The University of Alabama,Birmingham,35294,2,0
S00039,01073,The University of Alabama at Birmingham,Birmingham,35233,8,0
S00040,01073,The University of Alabama at Birmingham Clinical Research Unit (CRU,Birmingham,35249,1,0
S00041,01073,The University of Alabama at Birmingham Hospital,Birmingham,35249,1,0
S00042,01073,The University of Alabama at Birmingham Investigation Drug Services Pharmacy,Birmingham,35249,1,0
S00043,01073,The University of Alabama at Birmingham O'Neal Comprehensive Cancer Center,Birmingham,35233,1,0
S00044,01073,UAB Comprehensive Cancer Center,Birmingham,35249,2,0
S00045,01073,UAB Infusion Therapy Extended Care Clinic (ECC,Birmingham,35233,1,0
S00046,01073,UAB Medicine - UAB Hospital,Birmingham,35294,2,0
