state_fips,state,pop55_weighted,n_counties_touched,pct_pop55_in_counties_with_zero_trials,wmean_trials_in_own_county,wmean_dist_to_broad_menu_mi,wmean_dist_to_limited_menu_mi,wmean_dist_to_nci_mi,wmean_trials_within_60mi,wmean_oral_trials_within_60mi,wmean_oral_indeterminate_within_60mi,pct_pop55_beyond_60mi_of_broad_menu,pct_pop55_beyond_60mi_of_limited_menu,pct_pop55_beyond_120mi_of_broad_menu,pct_pop55_beyond_120mi_of_limited_menu,n_counties,n_counties_with_trials,n_districts
01,Alabama,1551428,67,52.2,25.0,106.5,60.6,106.4,60.0,30.0,6.0,70.1,51.9,30.7,7.5,67,8,7
02,Alaska,187882,30,62.1,20.0,1686.6,199.8,1678.0,28.0,14.0,2.0,100.0,47.6,100.0,36.9,30,2,1
04,Arizona,2229655,15,10.0,222.0,34.2,24.1,38.8,247.0,113.0,36.0,21.8,17.1,12.1,7.0,15,6,9
05,Arkansas,908855,75,52.0,19.0,180.9,38.2,178.9,54.0,21.0,6.0,97.3,29.2,87.2,0.7,75,9,4
06,California,10768047,58,4.3,323.0,33.1,8.5,38.7,546.0,250.0,62.0,14.8,4.3,8.0,1.6,58,33,52
08,Colorado,1581463,64,14.0,64.0,58.5,18.0,65.3,282.0,136.0,42.0,34.6,13.0,17.7,4.7,64,17,8
09,Connecticut,1169078,8,9.4,118.0,26.4,3.2,31.0,643.0,276.0,87.0,0.0,0.0,0.0,0.0,8,6,5
10,Delaware,343484,3,0.0,53.0,65.2,6.8,65.1,281.0,118.0,34.0,49.7,0.0,0.0,0.0,3,3,1
11,District of Columbia,151648,1,0.0,208.0,0.0,0.0,0.5,879.0,407.0,104.0,0.0,0.0,0.0,0.0,1,1,1
12,Florida,7606967,67,8.0,108.0,50.5,20.1,67.2,259.0,118.0,26.0,29.3,8.6,10.8,2.8,67,33,28
13,Georgia,2917161,159,43.9,40.0,61.7,36.4,65.3,247.0,113.0,25.0,42.9,21.1,16.4,6.8,159,22,14
15,Hawaii,469913,5,16.1,29.0,2858.1,59.8,63.4,29.0,12.0,3.0,100.0,33.6,100.0,21.7,5,3,2
16,Idaho,539119,44,37.5,38.0,311.4,42.4,308.0,54.0,28.0,3.0,100.0,29.5,100.0,19.8,44,8,2
17,Illinois,3746769,102,13.1,238.0,34.6,5.1,44.2,442.0,205.0,48.0,27.7,0.6,10.2,0.0,102,34,17
18,Indiana,1985015,92,41.5,29.0,58.2,29.8,65.6,161.0,74.0,17.0,43.9,13.2,12.2,0.0,92,18,9
19,Iowa,979129,99,52.9,24.0,83.6,33.9,88.4,88.0,44.0,10.0,76.1,23.7,26.4,0.0,99,16,4
20,Kansas,851563,105,26.3,46.0,112.4,26.4,117.4,100.0,51.0,10.0,65.1,16.4,51.4,3.4,105,25,4
21,Kentucky,1363296,120,56.2,35.0,52.9,41.5,78.5,112.0,47.0,13.0,42.2,37.4,11.7,0.0,120,16,6
22,Louisiana,1343693,64,37.1,22.0,294.4,42.6,292.9,61.0,27.0,8.0,100.0,34.6,100.0,7.7,64,13,6
23,Maine,513329,16,22.8,19.0,183.2,38.3,164.8,43.0,19.0,3.0,100.0,22.6,84.3,5.4,16,10,2
24,Maryland,1835600,24,12.2,77.0,20.3,11.1,24.5,753.0,348.0,88.0,6.5,1.3,1.3,0.0,24,14,8
25,Massachusetts,2183727,14,9.5,76.0,30.4,12.5,34.7,598.0,309.0,69.0,18.6,5.9,0.0,0.0,14,9,9
26,Michigan,3211801,83,21.4,99.0,46.7,13.4,77.1,277.0,129.0,37.0,25.8,5.3,9.7,1.1,83,34,13
27,Minnesota,1712686,87,22.6,77.0,57.2,15.5,63.2,182.0,90.0,16.0,32.9,9.9,19.6,0.1,87,33,8
28,Mississippi,872073,82,70.3,6.0,195.2,42.8,195.2,31.0,17.0,2.0,91.7,34.3,75.1,0.0,82,9,4
