state_fips,pop55,n_tracts,pct_zero_trials_within_60rdmi,pct_lt20_trials_within_60rdmi,pct_lt100_trials_within_60rdmi,pct_in_zero_trial_county,pct_gt60rdmi_broad_menu,pct_gt120rdmi_broad_menu,pct_gt60rdmi_limited_menu,pct_gt60rdmi_nci,pct_gt120rdmi_nci,pct_no_road_route_broad,pct_no_road_route_nci,median_road_mi_nci,median_road_mi_broad_menu,median_road_mi_limited_menu,wmean_trials_within_60rdmi,wmean_trials_within_30rdmi,wmean_trials_within_120rdmi,wmean_trials_in_own_county,modal_nearest_nci,modal_nearest_broad,wmean_t60_cancer_type_bladder_urothelial,wmean_t60_cancer_type_brain_cns,wmean_t60_cancer_type_breast,wmean_t60_cancer_type_colorectal,wmean_t60_cancer_type_gastric_esophageal,wmean_t60_cancer_type_gynecologic,wmean_t60_cancer_type_head_neck,wmean_t60_cancer_type_kidney,wmean_t60_cancer_type_leukemia,wmean_t60_cancer_type_liver_biliary,wmean_t60_cancer_type_lung,wmean_t60_cancer_type_lymphoma,wmean_t60_cancer_type_mds_mpn,wmean_t60_cancer_type_melanoma_skin,wmean_t60_cancer_type_multi,wmean_t60_cancer_type_myeloma,wmean_t60_cancer_type_neuroendocrine_endocrine,wmean_t60_cancer_type_other_named,wmean_t60_cancer_type_other_unclassified,wmean_t60_cancer_type_pancreatic,wmean_t60_cancer_type_prostate,wmean_t60_cancer_type_sarcoma,wmean_t60_phase_1,wmean_t60_phase_1-2,wmean_t60_phase_2,wmean_t60_phase_2-3,wmean_t60_phase_3,wmean_t60_phase_4,wmean_t60_phase_NA,wmean_t60_sponsor_academic_other,wmean_t60_sponsor_industry,wmean_t60_sponsor_nih_federal
01,1551428,1437,15.5,53.7,71.1,52.2,71.1,26.7,53.7,70.8,26.5,0.0,0.0,92.0,93.0,65.0,59.0,34.0,237.0,25.0,O'Neal Comprehensive Cancer Center (UAB),"Jefferson, Alabama",2.0,1.0,5.0,2.0,0.0,5.0,2.0,1.0,3.0,1.0,7.0,2.0,0.0,1.0,13.0,5.0,1.0,0.0,1.0,2.0,2.0,2.0,9.0,9.0,18.0,3.0,17.0,0.0,2.0,17.0,37.0,4.0
02,187882,177,48.6,49.5,100.0,62.1,100.0,100.0,49.5,100.0,100.0,100.0,100.0,999.0,999.0,56.0,27.0,21.0,28.0,20.0,NO ROAD CONNECTION,NO ROAD CONNECTION,0.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,6.0,3.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,8.0,2.0,18.0,0.0,0.0,13.0,11.0,4.0
04,2229655,1765,9.9,18.5,23.2,10.0,23.2,15.3,18.5,26.9,17.2,0.2,0.2,32.0,0.0,0.0,239.0,222.0,306.0,222.0,Mayo Clinic Cancer Center – Phoenix,"Maricopa, Arizona",9.0,10.0,22.0,11.0,4.0,6.0,6.0,4.0,7.0,5.0,21.0,13.0,1.0,9.0,63.0,15.0,5.0,1.0,2.0,8.0,16.0,3.0,49.0,37.0,51.0,9.0,87.0,2.0,4.0,59.0,168.0,12.0
05,908855,823,19.0,33.7,97.5,52.0,97.5,86.2,33.6,96.9,85.3,0.0,0.0,182.0,186.0,40.0,49.0,27.0,103.0,19.0,St. Jude Children's Research Hospital,"Shelby, Tennessee",4.0,1.0,5.0,2.0,1.0,4.0,2.0,1.0,2.0,0.0,8.0,2.0,0.0,2.0,7.0,3.0,1.0,1.0,0.0,2.0,3.0,0.0,3.0,3.0,14.0,3.0,25.0,0.0,1.0,18.0,24.0,7.0
06,10768047,9129,2.8,5.2,22.9,4.3,23.0,9.2,5.9,23.1,9.0,0.0,0.0,25.0,0.0,0.0,534.0,363.0,758.0,323.0,USC Norris Comprehensive Cancer Center,"Los Angeles, California",16.0,13.0,41.0,16.0,11.0,20.0,13.0,9.0,25.0,10.0,55.0,37.0,4.0,13.0,160.0,21.0,5.0,2.0,4.0,10.0,37.0,12.0,135.0,100.0,135.0,20.0,130.0,2.0,12.0,150.0,347.0,38.0
08,1581463,1447,8.1,14.5,33.3,14.0,35.6,16.0,14.5,42.2,17.3,0.0,0.0,45.0,33.0,0.0,279.0,201.0,364.0,64.0,University of Colorado Cancer Center,"Denver, Colorado",9.0,3.0,20.0,11.0,5.0,9.0,4.0,5.0,12.0,2.0,27.0,13.0,2.0,9.0,90.0,20.0,4.0,1.0,2.0,5.0,19.0,6.0,76.0,56.0,47.0,12.0,86.0,1.0,1.0,58.0,205.0,17.0
09,1169078,880,0.0,0.0,0.1,9.4,0.1,0.0,0.0,4.7,0.0,0.0,0.0,31.0,28.0,0.0,551.0,213.0,1372.0,118.0,Yale Cancer Center,"New Haven, Connecticut",12.0,17.0,50.0,17.0,7.0,32.0,19.0,10.0,20.0,6.0,60.0,30.0,3.0,10.0,161.0,29.0,6.0,2.0,6.0,9.0,34.0,11.0,137.0,88.0,148.0,17.0,140.0,3.0,18.0,184.0,327.0,40.0
10,343484,262,0.0,0.0,48.6,0.0,50.4,0.2,0.0,50.7,0.0,0.0,0.0,66.0,64.0,0.0,294.0,90.0,1147.0,53.0,Sidney Kimmel Cancer Center (Jefferson),"Philadelphia, Pennsylvania",14.0,5.0,25.0,10.0,6.0,17.0,11.0,4.0,14.0,4.0,39.0,15.0,2.0,9.0,69.0,11.0,5.0,0.0,1.0,7.0,21.0,6.0,62.0,39.0,71.0,11.0,96.0,2.0,13.0,104.0,163.0,27.0
11,151648,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,880.0,687.0,1031.0,208.0,Georgetown Lombardi Comprehensive Cancer Center,"District of Columbia, District of Columbia",19.0,19.0,61.0,23.0,10.0,41.0,20.0,16.0,33.0,21.0,106.0,29.0,6.0,18.0,330.0,25.0,11.0,1.0,8.0,17.0,50.0,16.0,234.0,176.0,203.0,24.0,212.0,2.0,29.0,189.0,564.0,127.0
12,7606967,5160,0.9,6.8,24.0,8.0,30.6,10.2,10.2,46.6,16.3,0.0,0.0,55.0,35.0,0.0,269.0,157.0,465.0,108.0,Moffitt Cancer Center,"Hillsborough, Florida",6.0,7.0,24.0,10.0,3.0,17.0,9.0,2.0,12.0,4.0,37.0,15.0,3.0,9.0,68.0,12.0,3.0,1.0,2.0,6.0,13.0,5.0,50.0,40.0,66.0,11.0,94.0,2.0,6.0,61.0,189.0,18.0
