rank_zero,rank_lt20,name,name_is_placeholder,city,state,zip,county_name,county_fips,pop55_newly_covered_zero,pop55_newly_covered_lt20,tracts_within_60rdmi,county_trials,n_trials_hosted_2016plus,geocode,access_mi,lat,lon,source
1,153,Jackson-Madison County General Hospital,0,Jackson,TN,38301,Madison,47113,100161,121438,152,0,1,zip,1.9,35.588164,-88.853395,registry_stand_in
2,140,Jackson,1,Jackson,TN,38305,Madison,47113,97183,128437,144,0,1,zip,2.0,35.701654,-88.768058,registry_stand_in
3,141,"The Jackson Clinic, PA",0,Jackson,TN,38305,Madison,47113,97183,128437,144,0,2,zip,2.0,35.701654,-88.768058,registry_stand_in
4,84,Central Recruiting Site,1,Sheffield,AL,35660,Colbert,01033,78903,171832,149,0,1,zip,0.2,34.758412,-87.696542,registry_stand_in
5,94,"Northwest Alabama Cancer Center, PC",0,Muscle Shoals,AL,35661,Colbert,01033,75386,153281,132,0,2,zip,0.8,34.768526,-87.562802,registry_stand_in
6,229,Idaho Falls,1,Idaho Falls,ID,83404,Bonneville,16019,72928,75153,73,0,2,zip,3.2,43.426779,-112.015502,registry_stand_in
7,230,Institute of Arthritis Research,0,Idaho Falls,ID,83404,Bonneville,16019,72928,75153,73,0,2,zip,3.2,43.426779,-112.015502,registry_stand_in
8,231,Leavitt Womens Healthcare,0,Idaho Falls,ID,83404,Bonneville,16019,72928,75153,73,0,2,zip,3.2,43.426779,-112.015502,registry_stand_in
9,232,Research Center,0,Idaho Falls,ID,83404,Bonneville,16019,72928,75153,73,0,1,zip,3.2,43.426779,-112.015502,registry_stand_in
10,233,Site reference,1,Idaho Falls,ID,83404,Bonneville,16019,72928,75153,73,0,1,zip,3.2,43.426779,-112.015502,registry_stand_in
11,234,"Womens Healthcare Assoc, DBA",0,Idaho Falls,ID,83404,Bonneville,16019,72928,75153,73,0,3,zip,3.2,43.426779,-112.015502,registry_stand_in
12,259,Arrivent Investigative Site,1,Yuma,AZ,85364,Yuma,04027,72063,72063,76,0,1,zip,0.5,32.704556,-114.656304,registry_stand_in
